token_symbol,fallback_provider_unavailable,true_data_gap,expected_post_delisting_missing,low_liquidity_fallback,suspicious_fallback_spike,fallback_exchange,fallback_pair,fallback_rows_count,fallback_quote_volume,reason,notes
ID,no,no,no,no,no,,,0,nan,,
IDEX,yes,no,yes,no,no,ccxt_gateio,IDEX/USDT,986,116346654.77249002,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable,
IDRT,no,no,no,no,no,,,0,nan,unresolved_pair_or_symbol,
ILV,no,no,no,no,no,,,0,nan,,
IMX,no,no,no,no,no,,,0,nan,,
INIT,no,no,no,no,no,,,0,nan,,
INJ,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
IO,no,no,no,no,no,,,0,nan,,
IOST,no,no,no,no,no,,,0,nan,,
IOTA,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
IOTX,no,no,no,no,no,,,0,nan,,
IR,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
IRIS,no,no,no,no,no,ccxt_gateio,IRIS/USDT,278,32813966.491548114,,
JASMY,no,no,no,no,no,,,0,nan,,
JOE,no,no,no,no,no,,,0,nan,,
JTO,no,yes,no,no,no,,,0,nan,true_data_gap,
JUP,no,yes,no,no,no,,,0,nan,true_data_gap,
JUV,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
KAITO,no,no,no,no,no,,,0,nan,,
KAT,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
KAVA,no,no,no,no,no,,,0,nan,,
KDA,no,no,no,no,no,ccxt_gateio,KDA/USDT,884,1164092275.2876086,,
KERNEL,no,no,no,no,no,,,0,nan,,
KEY,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
KITE,no,no,no,no,no,,,0,nan,,
