token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
VAI,delisted_after_tag,,yes,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_mexc,VAI/USDT
VANA,spot_pair_removed_only,VANAUSDT,no,VANAUSDT,no,,,no,,
VANRY,spot_pair_removed_only,VANRYUSDT,no,VANRYUSDT,no,,,no,,
VELODROME,still_tagged,VELODROMEUSDT,no,VELODROMEUSDT,no,,,no,,
VET,spot_pair_removed_only,VETUSDT,no,VETUSDT,no,,,no,,
VFY,futures_only_delisting,,yes,VFYUSDT,no,,,no,,
VGX,delisted_without_known_tag,VGXUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_gateio,VGX/USDT
VIB,delisted_after_tag,VIBUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
VIC,still_tagged,VICUSDT,no,VICUSDT,no,,,no,,
VIDT,delisted_after_tag,VIDTUSDT,no,VIDTUSDT,no,,,no,,
VINE,futures_only_delisting,,yes,VINEUSDT,no,,,no,,
VITE,delisted_after_tag,VITEUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
VOXEL,delisted_after_tag,VOXELUSDT,no,VOXELUSDT,no,,,yes,ccxt_gateio,VOXEL/USDT
VTHO,spot_pair_removed_only,VTHOUSDT,no,VTHOUSDT,no,,,no,,
WAN,delisted_after_tag,WANUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_kucoin,WAN/USDT
WAVES,delisted_after_tag,WAVESUSDT,no,WAVESUSDT,no,,,yes,ccxt_bybit,WAVES/USDT
WAXP,spot_pair_removed_only,WAXPUSDT,no,WAXPUSDT,no,,,no,,
WCT,spot_pair_removed_only,WCTUSDT,no,WCTUSDT,no,,,no,,
WIF,still_tagged,WIFUSDT,no,WIFUSDT,no,,,no,,
WIN,spot_pair_removed_only,WINUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
WING,delisted_after_tag,WINGUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_gateio,WING/USDT
WLFI,seed_tag_only,WLFIUSDT,no,WLFIUSDT,no,,,no,,
WNXM,delisted_after_tag,WNXMUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_mexc,WNXM/USDT
WOO,spot_pair_removed_only,WOOUSDT,no,WOOUSDT,no,,,no,,
WRX,delisted_without_known_tag,WRXUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_gateio,WRX/USDT
