token_entity_id,token_symbol,anchor_event_id,anchor_event_type,publication_datetime_utc,baseline_vwap_7d,baseline_median_close_7d,baseline_close_1d,post_event_low_7d,post_event_low_14d,post_event_low_30d,post_event_low_60d,post_event_low_90d,drawdown_to_low_7d,drawdown_to_low_14d,drawdown_to_low_30d,drawdown_to_low_60d,drawdown_to_low_90d,days_from_event_to_low_7d,days_from_event_to_low_30d,days_from_event_to_low_90d,low_timestamp_utc,low_price,volume_at_low,quote_volume_at_low,volume_zscore_at_low,wick_ratio_at_low,volatility_before_low,volatility_after_low,capitulation_flag,liquidity_death_flag,low_liquidity_wick_flag,absolute_bottom_confidence_score,manual_review_required,notes
0G,0G,b08c2a68b0b046a3,SPOT_PAIR_REMOVED,2026-01-19 07:30:00+00:00,0.864632537283798,0.874,0.782,0.722,0.596,0.444,0.444,0.444,-0.16496318509117336,-0.3106898314603037,-0.48648705565163564,-0.48648705565163564,-0.48648705565163564,2.3958333333333335,17.6875,17.6875,2026-02-06T00:00:00+00:00,0.444,735639.62,344858.90313,1.8042048752461277,0.745098039215686,0.017479213031726237,0.023041692963308307,no,no,no,0.85,no,
1000CAT,1000CAT,7353c4ecea8627e7,SPOT_PAIR_REMOVED,2025-09-10 07:00:04+00:00,0.007366252033561573,0.00728,0.00787,0.0074,0.00689,0.00658,0.00272,0.00272,0.004581429780662782,-0.0646532363258423,-0.10673705297881608,-0.6307484474319726,-0.6307484474319726,5.374953703703704,16.20828703703704,30.58328703703704,2025-10-10T21:00:00+00:00,0.00272,278246673.2,1517292.063961,4.10370988570565,0.6075156576200417,0.019695211608765063,0.017305110435313128,yes,no,no,0.85,no,
1000SATS,1000SATS,51b4ab486a5915e6,SPOT_PAIR_REMOVED,2026-01-08 05:30:00+00:00,1.728500696349862e-05,1.731e-05,1.736e-05,1.581e-05,1.42e-05,9.12e-06,9.12e-06,9.12e-06,-0.08533447320058629,-0.1784787804837651,-0.47237510408534766,-0.47237510408534766,-0.47237510408534766,4.3125,28.770833333333332,28.770833333333332,2026-02-06T00:00:00+00:00,9.12e-06,57185798760.0,573708.97932119,3.539534029259835,0.8121546961325966,0.01564215131841548,0.010601159689476463,no,no,no,0.85,no,
1INCH,1INCH,1a2f74c6eb0eee90,SPOT_PAIR_REMOVED,2026-04-21 07:30:00+00:00,0.09575729693313477,0.095,0.0942,0.0931,0.0911,0.0888,0.0878,0.0878,-0.027750333585442544,-0.04863647035052443,-0.07265552763036842,-0.08309859601290936,-0.08309859601290936,0.4791666666666667,27.4375,31.979166666666668,2026-05-23T07:00:00+00:00,0.0878,1562767.8,138782.23901,4.401622706270272,0.27272727272727504,0.005125058344956805,0.004988401434392063,no,no,no,0.85,no,
1MBABYDOGE,1MBABYDOGE,100dea1a92e98d17,SPOT_PAIR_REMOVED,2026-01-19 07:30:00+00:00,0.0006951723825214848,0.0006845,0.0006301,0.0005441,0.0004409,0.0003462,0.0003462,0.0003462,-0.21731643304575,-0.3657688206761096,-0.5019940252167592,-0.5019940252167592,-0.5019940252167592,6.520833333333333,17.6875,17.6875,2026-02-06T00:00:00+00:00,0.0003462,1512640998.0,553492.0871399,2.5260907192886766,0.8453608247422684,0.0119673950281515,0.009580397605465137,yes,no,no,0.85,no,
2Z,2Z,4b887ae093ae6180,SPOT_PAIR_REMOVED,2026-01-08 05:30:00+00:00,0.12523354846319837,0.12583,0.11725,0.11318,0.11318,0.08212,0.0655,0.0655,-0.09624855808298416,-0.09624855808298416,-0.34426516690028863,-0.4769772093517889,-0.4769772093517889,4.3125,28.770833333333332,45.8125,2026-02-23T01:00:00+00:00,0.0655,1897068.0,127346.59744,4.581065447817267,0.1383495145631071,0.007639409280730528,0.011071627085916162,no,no,no,0.85,no,
A2Z,A2Z,1fc6e5215a5c6f00,MONITORING_TAG_ADDED,2026-03-13 09:00:23+00:00,0.0008631042850588932,0.0008235,0.000807,0.000464,0.000262,7.2e-05,7.2e-05,7.2e-05,-0.46240563506374044,-0.6964445611782327,-0.9165801847512701,-0.9165801847512701,-0.9165801847512701,6.749733796296296,18.66640046296296,18.66640046296296,2026-04-01T01:00:00+00:00,7.2e-05,637179705.0,49467.107774,0.12437495013894388,0.1666666666666663,0.04938555374703408,nan,no,yes,no,0.6,yes,low_quote_volume_at_low
AAVE,AAVE,ae540b1f433c0ffa,SPOT_PAIR_REMOVED,2023-11-15 07:15:03+00:00,99.1242152805592,97.035,93.44,82.81,82.81,82.81,82.81,81.45,-0.16458355039062622,-0.16458355039062622,-0.16458355039062622,-0.16458355039062622,-0.17830370944712604,2.989548611111111,2.989548611111111,81.7395486111111,2024-02-05T01:00:00+00:00,81.45,15281.58,1254120.56791,4.155064817498252,0.8794326241134737,0.006293563106161853,0.005539176084230148,no,no,no,0.85,no,
ACA,ACA,dccc644ea3175a5f,MONITORING_TAG_ADDED,2026-01-02 10:59:57+00:00,0.010050621845248084,0.0098,0.0103,0.0074,0.0071,0.0052,0.0017,0.0017,-0.26372714903220573,-0.2935760483957649,-0.4826190776983068,-0.8308562369398311,-0.8308562369398311,5.958368055555556,29.79170138888889,41.54170138888889,2026-02-13T00:00:00+00:00,0.0017,17897545.64,36124.851208,1.2526434631329968,0.3333333333333335,0.052339644426311914,nan,no,yes,no,0.6,yes,low_quote_volume_at_low
ACE,ACE,1aa297da122de509,SPOT_PAIR_REMOVED,2024-06-05 05:30:02+00:00,6.111748593096038,5.804,6.003,4.302,3.145,2.16,2.16,1.754,-0.29610979010824645,-0.4854173151767631,-0.6465823213932618,-0.6465823213932618,-0.7130117554276765,6.8124768518518515,29.895810185185184,61.020810185185184,2024-08-05T06:00:00+00:00,1.754,1349000.0,2499142.3266,1.9161533421117722,0.6787564766839377,0.023630836613181855,0.015190481181633578,no,no,no,0.85,no,
