token_entity_id,token_symbol,anchor_event_id,anchor_event_type,publication_datetime_utc,baseline_vwap_7d,baseline_median_close_7d,baseline_close_1d,post_event_low_7d,post_event_low_14d,post_event_low_30d,post_event_low_60d,post_event_low_90d,drawdown_to_low_7d,drawdown_to_low_14d,drawdown_to_low_30d,drawdown_to_low_60d,drawdown_to_low_90d,days_from_event_to_low_7d,days_from_event_to_low_30d,days_from_event_to_low_90d,low_timestamp_utc,low_price,volume_at_low,quote_volume_at_low,volume_zscore_at_low,wick_ratio_at_low,volatility_before_low,volatility_after_low,capitulation_flag,liquidity_death_flag,low_liquidity_wick_flag,absolute_bottom_confidence_score,manual_review_required,notes
A2Z,A2Z,1fc6e5215a5c6f00,MONITORING_TAG_ADDED,2026-03-13 09:00:23+00:00,0.0008631042850588,0.0008235,0.000807,0.000464,0.000262,7.2e-05,7.2e-05,7.2e-05,-0.4624056350637404,-0.6964445611782327,-0.91658018475127,-0.91658018475127,-0.91658018475127,6.749733796296296,18.66640046296296,18.66640046296296,2026-04-01T01:00:00+00:00,7.2e-05,637179705.0,49467.107774,0.1243749501389438,0.1666666666666663,0.049385553747034,,no,yes,no,0.6,yes,low_quote_volume_at_low
ACA,ACA,dccc644ea3175a5f,MONITORING_TAG_ADDED,2026-01-02 10:59:57+00:00,0.010050621845248,0.0098,0.0103,0.0074,0.0071,0.0052,0.0017,0.0017,-0.2637271490322057,-0.2935760483957649,-0.4826190776983068,-0.8308562369398311,-0.8308562369398311,5.958368055555556,29.79170138888889,41.54170138888889,2026-02-13T00:00:00+00:00,0.0017,17897545.64,36124.851208,1.2526434631329968,0.3333333333333335,0.0523396444263119,,no,yes,no,0.6,yes,low_quote_volume_at_low
AERGO,AERGO,abca945eb2bee96c,MONITORING_TAG_ADDED,2025-03-04 08:01:22+00:00,0.0821164081122088,0.0877,0.0692,0.0579,0.0579,0.0579,0.0579,0.0579,-0.2949034019987582,-0.2949034019987582,-0.2949034019987582,-0.2949034019987582,-0.2949034019987582,6.665717592592593,6.665717592592593,6.665717592592593,2025-03-11T00:00:00+00:00,0.0579,978023.0,58602.473,3.307425013936198,0.2666666666666668,0.0118422308025015,0.0098688936319241,no,yes,no,0.6,yes,low_quote_volume_at_low
AKRO,AKRO,2ebc47e2d093dcb6,SPOT_TOKEN_DELISTING_ANNOUNCED,2024-12-18 08:01:12+00:00,0.0043722152469566,0.00449,0.002895,0.000906,0.000906,0.000906,0.000906,0.000906,-0.7927823886002305,-0.7927823886002305,-0.7927823886002305,-0.7927823886002305,-0.7927823886002305,6.7491666666666665,6.7491666666666665,6.7491666666666665,2024-12-25T02:00:00+00:00,0.000906,151912976.0,156001.927402,-0.0890424000015852,0.3504672897196267,0.0380675091849978,,no,no,no,0.65,yes,short_post_event_history
ALCX,ALCX,4a1694681090a940,MONITORING_TAG_ADDED,2026-05-22 08:00:04+00:00,5.060368559667527,5.06,4.99,3.96,3.53,3.28,3.28,3.28,-0.2174483037535556,-0.3024223515782958,-0.3518258677554703,-0.3518258677554703,-0.3518258677554703,6.208287037037037,14.874953703703705,14.874953703703705,2026-06-06T05:00:00+00:00,3.28,7339.6195,24264.077059,0.4186142711200892,1.0,0.020748295024958,0.0050701075339509,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
ALPACA,ALPACA,064b0dde744232dc,MONITORING_TAG_ADDED,2025-03-04 08:01:22+00:00,0.1106218583848778,0.1184,0.0796,0.0551,0.0551,0.0481,0.0278,0.0278,-0.5019067587140421,-0.5019067587140421,-0.5651853919082654,-0.7486934281715131,-0.7486934281715131,5.415717592592593,25.374050925925925,43.74905092592593,2025-04-17T02:00:00+00:00,0.0278,15072629.3,446281.83238,3.184544044342898,0.3823529411764713,0.0190585715782612,0.0386424876790856,yes,no,no,0.85,no,
ALPHA,ALPHA,cdee2c69a544c7e6,MONITORING_TAG_ADDED,2025-05-07 08:00:33+00:00,0.0365921477087859,0.0323,0.0298,0.0262,0.0258,0.0229,0.0092,0.0092,-0.2839993922054146,-0.294930699194645,-0.3741826748665647,-0.7485799392477028,-0.7485799392477028,0.4996180555555555,29.499618055555555,57.74961805555556,2025-07-04T02:00:00+00:00,0.0092,27383986.0,267904.8796,2.0692444031873056,0.5,0.0160975994473672,,no,no,no,0.85,no,
AMB,AMB,78605f349f17de8a,SPOT_TOKEN_DELISTING_ANNOUNCED,2025-02-17 07:00:24+00:00,0.0041680008585844,0.004465,0.00289,0.00026,0.00026,0.00026,0.00026,0.00026,-0.9376199744622176,-0.9376199744622176,-0.9376199744622176,-0.9376199744622176,-0.9376199744622176,6.791388888888889,6.791388888888889,6.791388888888889,2025-02-24T02:00:00+00:00,0.00026,776841026.0,240994.3666,1.2300411699286395,0.5000000000000002,0.0547550839463359,,no,no,no,0.65,yes,short_post_event_history
ANT,ANT,e0c4360ac0bda986,MONITORING_TAG_ADDED,2024-01-04 07:00:09+00:00,5.857691260456209,5.872,5.637,5.457,5.457,5.457,5.457,5.457,-0.0684042983216227,-0.0684042983216227,-0.0684042983216227,-0.0684042983216227,-0.0684042983216227,3.7915625,3.7915625,3.7915625,2024-01-08T02:00:00+00:00,5.457,48446.9,268559.3061,2.7291512239545437,0.3478260869565217,0.0049132137374359,0.0083473026932645,no,no,no,0.85,no,
ARDR,ARDR,afca87c30daaf7ba,MONITORING_TAG_ADDED,2025-04-03 07:00:36+00:00,0.0567051126218466,0.05695,0.04695,0.03699,0.03699,0.03699,0.03699,0.03699,-0.347677867308406,-0.347677867308406,-0.347677867308406,-0.347677867308406,-0.347677867308406,3.9995833333333337,3.9995833333333337,3.9995833333333337,2025-04-07T07:00:00+00:00,0.03699,614356.0,22977.48437,-0.5977383035102004,0.5918367346938779,0.0171117399907067,0.0559729580496921,no,yes,no,0.6,yes,low_quote_volume_at_low
AST,AST,c9bba63a0a1d11c1,MONITORING_TAG_ADDED,2025-03-04 08:01:22+00:00,0.063323374680847,0.0663,0.0504,0.04,0.0086,0.0086,0.0086,0.0086,-0.3683217263514143,-0.864189171165554,-0.864189171165554,-0.864189171165554,-0.864189171165554,6.70738425925926,12.040717592592593,12.040717592592593,2025-03-16T09:00:00+00:00,0.0086,3999399.0,177953.1077,4.588623686273307,0.9309462915601024,0.0126605652031275,0.0252731414368416,yes,no,no,0.85,no,
ATA,ATA,c94c0613623769e6,MONITORING_TAG_ADDED,2026-03-13 09:00:23+00:00,0.0114306584594765,0.0113,0.0109,0.0105,0.0093,0.0079,0.0079,0.002,-0.0814177470856865,-0.1863985759901795,-0.3088762097120878,-0.3088762097120878,-0.8250319518258451,0.1247337962962963,18.91640046296296,73.95806712962963,2026-05-26T08:00:00+00:00,0.002,40182251.0,86133.5977,2.4447443227930536,1.0,0.0390550472640032,0.0814361456916709,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
