token_entity_id,token_symbol,anchor_event_id,anchor_event_type,publication_datetime_utc,baseline_vwap_7d,baseline_median_close_7d,baseline_close_1d,post_event_low_7d,post_event_low_14d,post_event_low_30d,post_event_low_60d,post_event_low_90d,drawdown_to_low_7d,drawdown_to_low_14d,drawdown_to_low_30d,drawdown_to_low_60d,drawdown_to_low_90d,days_from_event_to_low_7d,days_from_event_to_low_30d,days_from_event_to_low_90d,low_timestamp_utc,low_price,volume_at_low,quote_volume_at_low,volume_zscore_at_low,wick_ratio_at_low,volatility_before_low,volatility_after_low,capitulation_flag,liquidity_death_flag,low_liquidity_wick_flag,absolute_bottom_confidence_score,manual_review_required,notes
COMBO,COMBO,ddd8722fcd3a9596,MONITORING_TAG_ADDED,2025-03-04 08:01:22+00:00,0.2661803982286409,0.2808,0.2127,0.0436,0.0436,0.0263,0.0263,0.0263,-0.8362013120043914,-0.8362013120043914,-0.9011948281127407,-0.9011948281127407,-0.9011948281127407,6.665717592592593,23.70738425925926,23.70738425925926,2025-03-28T01:00:00+00:00,0.0263,8850250.6,280338.90493,0.4811653044281975,0.3858267716535432,0.0336398770138741,nan,no,no,no,0.85,no,
COOKIE,COOKIE,a5602175aafd748b,MONITORING_TAG_ADDED,2026-05-22 08:00:04+00:00,0.018062398115722716,0.0175,0.0155,0.0114,0.0097,0.009,0.009,0.009,-0.3688545714161465,-0.4629727493628616,-0.5017272932232737,-0.5017272932232737,-0.5017272932232737,5.833287037037037,14.833287037037037,14.833287037037037,2026-06-06T04:00:00+00:00,0.009,5111832.2,46772.05868,0.9098881946362785,0.4000000000000007,0.015762703604964623,0.014507147592813506,no,yes,no,0.6,yes,low_quote_volume_at_low
COS,COS,a69cfb015113f6cc,MONITORING_TAG_ADDED,2026-03-06 08:29:56+00:00,0.0011835471915805221,0.0010295,0.000932,0.000827,0.000827,0.000827,0.000827,0.000827,-0.3012530418025706,-0.3012530418025706,-0.3012530418025706,-0.3012530418025706,-0.3012530418025706,1.479212962962963,1.479212962962963,1.479212962962963,2026-03-07T20:00:00+00:00,0.000827,10423624.0,8660.5605121,-0.39084705744712633,0.7142857142857054,0.010386733689415718,0.04929442418934138,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
CREAM,CREAM,c7f6923d690b160e,SPOT_TOKEN_DELISTING_ANNOUNCED,2025-04-08 06:00:07+00:00,4.246152362059548,4.46,2.34,0.99,0.99,0.99,0.99,0.99,-0.766847744596755,-0.766847744596755,-0.766847744596755,-0.766847744596755,-0.766847744596755,5.624918981481481,5.624918981481481,5.624918981481481,2025-04-13T21:00:00+00:00,0.99,72654.613,74711.08841,-0.47331789243588096,0.8,0.06732135270556924,0.09204393690499925,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
CTXC,CTXC,73bd41c12e1c9037,MONITORING_TAG_ADDED,2024-07-01 07:00:03+00:00,0.22614029586012793,0.2234,0.2149,0.111,0.111,0.111,0.111,0.111,-0.5091542638263125,-0.5091542638263125,-0.5091542638263125,-0.5091542638263125,-0.5091542638263125,3.8749652777777777,3.8749652777777777,3.8749652777777777,2024-07-05T04:00:00+00:00,0.111,1709099.0,194788.4027,0.9312124768196848,0.724137931034482,0.016451778167859823,0.024035710023326697,no,no,no,0.85,no,
CVP,CVP,e03ecc015ad077ba,MONITORING_TAG_ADDED,2024-07-01 07:00:03+00:00,0.3086489082708906,0.3069,0.2758,0.1741,0.1741,0.1741,0.0328,0.0328,-0.43592867062015206,-0.43592867062015206,-0.43592867062015206,-0.8937303871128144,-0.8937303871128144,3.833298611111111,3.833298611111111,55.79163194444445,2024-08-26T02:00:00+00:00,0.0328,8558330.2,350446.33851,0.6803928108161446,0.06790123456790104,0.03946673555548752,nan,no,no,no,0.85,no,
CVX,CVX,f516a957212c330b,MONITORING_TAG_ADDED,2024-07-01 07:00:03+00:00,3.190098462361746,3.075,3.216,2.008,2.008,2.008,1.941,1.8,-0.37055234385668323,-0.37055234385668323,-0.37055234385668323,-0.39155483039134564,-0.43575409309862034,3.833298611111111,3.833298611111111,67.5832986111111,2024-09-06T21:00:00+00:00,1.8,72682.144,133038.061151,1.2107278220767914,0.9830508474576289,0.007980279093607039,0.008243109794094422,no,no,no,0.85,no,
D,D,76c150b865ecafa1,SPOT_TOKEN_DELISTING_ANNOUNCED,2026-06-05 07:00:07+00:00,nan,nan,0.01187,,,,,,,,,,,,,,,,,,,,,,no,yes,yes,0.2,yes,missing_1h_path_or_no_post_event_data
DATA,DATA,3aeb58a1f5337ceb,MONITORING_TAG_ADDED,2026-01-02 10:59:57+00:00,0.005979786995690762,0.00585,0.00602,0.0041,0.0041,0.00266,0.00081,0.00081,-0.31435684867126534,-0.31435684867126534,-0.5551681018208697,-0.8645436701033475,-0.8645436701033475,3.472222222222222e-05,17.79170138888889,41.625034722222225,2026-02-13T02:00:00+00:00,0.00081,19750029.5,17150.415336,-0.09902190252246176,0.5000000000000003,0.0461478929107833,nan,no,yes,no,0.6,yes,low_quote_volume_at_low
DEGO,DEGO,6cca4d0784f78049,MONITORING_TAG_ADDED,2026-03-06 08:29:56+00:00,0.2924732532267914,0.301,0.265,0.248,0.248,0.248,0.024,0.024,-0.15205921476965167,-0.15205921476965167,-0.15205921476965167,-0.9179412143325469,-0.9179412143325469,0.10421296296296297,0.10421296296296297,52.60421296296296,2026-04-27T23:00:00+00:00,0.024,1571672.8,40431.03254,1.114138219358648,0.20000000000000015,0.04207067217145918,0.08485281374238562,no,yes,no,0.6,yes,low_quote_volume_at_low
DENT,DENT,61e888f9a9a6a36e,MONITORING_TAG_ADDED,2025-12-01 04:30:24+00:00,0.000331727799369417,0.000355,0.000285,0.000222,0.000222,0.000195,0.00015,0.000119,-0.33077661738931463,-0.33077661738931463,-0.4121686504095332,-0.547822038776564,-0.6412721507627408,3.6038888888888887,17.60388888888889,84.52055555555556,2026-02-23T17:00:00+00:00,0.000119,84154004.0,10160.348742,0.04004521426259974,0.3333333333333333,0.007973361754590326,0.05419812948466361,no,yes,no,0.6,yes,low_quote_volume_at_low
DF,DF,b3e6d9131bc51e94,MONITORING_TAG_ADDED,2025-12-01 04:30:24+00:00,0.014617050473379545,0.01505,0.01325,0.01246,0.01196,0.01034,0.00944,0.00129,-0.1475708438790676,-0.1817774713317536,-0.2926069442784558,-0.3541788736932904,-0.9117469011720705,0.39555555555555555,23.270555555555557,73.89555555555556,2026-02-13T02:00:00+00:00,0.00129,18978936.0,28737.5587,-0.025987806224689533,0.5833333333333334,0.0531710867702758,nan,no,yes,no,0.6,yes,low_quote_volume_at_low
DOCK,DOCK,c13b1dfe2436783d,MONITORING_TAG_ADDED,2024-07-01 07:00:03+00:00,0.021324475775077633,0.021565,0.01996,0.00587,0.00436,0.00374,0.00374,0.00374,-0.7247294582096881,-0.7955401086531926,-0.8246146803584725,-0.8246146803584725,-0.8246146803584725,6.999965277777778,20.791631944444443,20.791631944444443,2024-07-22T02:00:00+00:00,0.00374,109677291.0,443329.95722,2.8048046022376747,0.25396825396825395,0.027131955568880223,nan,no,no,no,0.85,no,
DODO,DODO,e8c8ce18661ac872,MONITORING_TAG_ADDED,2026-05-22 08:00:04+00:00,0.020257887699384854,0.01881,0.02014,0.01639,0.01639,0.01639,0.01639,0.01639,-0.19093242873008454,-0.19093242873008454,-0.19093242873008454,-0.19093242873008454,-0.19093242873008454,2.5416203703703704,2.5416203703703704,2.5416203703703704,2026-05-24T21:00:00+00:00,0.01639,2139776.7,35481.272507,0.5166442548836857,0.09090909090909449,0.014327772717135276,0.008744288108801,no,yes,no,0.4,yes,low_quote_volume_at_low;short_post_event_history
DREP,DREP,77b52a90a52f0b02,SPOT_TOKEN_DELISTING_ANNOUNCED,2024-03-20 06:00:07+00:00,0.40564201129153776,0.39255,0.1446,0.0873,0.025,0.025,0.025,0.025,-0.7847856051151051,-0.9383693027248297,-0.9383693027248297,-0.9383693027248297,-0.9383693027248297,6.999918981481481,13.833252314814814,13.833252314814814,2024-04-03T02:00:00+00:00,0.025,8579310.0,241507.7006,0.5676339541109564,0.1,0.06377559867294681,nan,no,no,no,0.85,no,
ELF,ELF,2b488d2b7a3bc9e1,SPOT_TOKEN_DELISTING_ANNOUNCED,2025-04-08 06:00:07+00:00,0.24199501644142832,0.2458,0.228,0.1878,0.1878,0.1878,0.1878,0.1878,-0.22395096080230859,-0.22395096080230859,-0.22395096080230859,-0.22395096080230859,-0.22395096080230859,6.041585648148148,6.041585648148148,6.041585648148148,2025-04-14T07:00:00+00:00,0.1878,1567022.0,327634.48136,3.6239314025295064,0.8390410958904106,0.016350262900976794,0.01346815999094312,no,no,no,0.85,no,
EPIC,EPIC,c518920624770484,MONITORING_TAG_ADDED,2026-05-22 08:00:04+00:00,0.29859622925443613,0.305,0.261,0.191,0.191,0.191,0.191,0.191,-0.3603402143526486,-0.3603402143526486,-0.3603402143526486,-0.3603402143526486,-0.3603402143526486,6.833287037037037,6.833287037037037,6.833287037037037,2026-05-29T04:00:00+00:00,0.191,80223.7,15480.2122,-0.005863327979719132,0.6666666666666666,0.012625996704772116,0.04149887303093026,no,yes,no,0.6,yes,low_quote_volume_at_low
EPX,EPX,daa09b139684a4a8,MONITORING_TAG_ADDED,2024-04-03 06:00:16+00:00,0.00038613001234900896,0.0003857,0.0003326,0.0002467,0.0001448,0.0001448,0.0001448,0.0001136,-0.361096024369593,-0.6249967747414554,-0.6249967747414554,-0.6249967747414554,-0.7057985746590424,2.208148148148148,10.583148148148148,81.95814814814815,2024-06-24T05:00:00+00:00,0.0001136,667287193.0,76923.8419379,-0.0789831905077451,0.2058823529411774,0.011274087808147,0.028504660381330094,no,yes,no,0.6,yes,low_quote_volume_at_low
FARM,FARM,22c469b3db8740d8,MONITORING_TAG_ADDED,2026-04-14 02:30:06+00:00,11.989334966495,11.92,12.29,11.24,11.24,8.6,6.08,6.08,-0.06250012770425273,-0.06250012770425273,-0.28269582724702613,-0.49288263135603705,-0.49288263135603705,0.7290972222222222,29.562430555555554,42.18743055555556,2026-05-26T07:00:00+00:00,6.08,2397.197,14993.14318,1.3406260913257293,0.648648648648649,0.03179488671314067,0.028026156526936147,no,yes,no,0.6,yes,low_quote_volume_at_low
FIO,FIO,e7ff807aa10c4697,MONITORING_TAG_ADDED,2026-03-13 09:00:23+00:00,0.008680039361650495,0.00874,0.00853,0.00691,0.00574,0.004,0.00081,0.00081,-0.2039206607139077,-0.3387126761936078,-0.5391725966505978,-0.906682450821746,-0.906682450821746,6.916400462962963,29.91640046296296,40.70806712962963,2026-04-23T02:00:00+00:00,0.00081,90424993.0,77589.56282,1.1328058756276658,0.8666666666666664,0.03773414627552071,nan,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
FIRO,FIRO,4a8314d988bfa109,MONITORING_TAG_ADDED,2024-01-04 07:00:09+00:00,2.256955808773677,2.2645,1.973,1.4,1.4,1.4,1.4,1.4,-0.37969543109455306,-0.37969543109455306,-0.37969543109455306,-0.37969543109455306,-0.37969543109455306,1.5415625,1.5415625,1.5415625,2024-01-05T20:00:00+00:00,1.4,196948.8,301101.1891,1.4272603301014453,0.7927461139896372,0.01767224051224424,0.015941738333037088,no,no,no,0.85,no,
FIS,FIS,b61c4ff537847d96,MONITORING_TAG_ADDED,2025-06-05 05:00:18+00:00,0.1617372403514521,0.155,0.1282,0.107,0.0893,0.0738,0.0738,0.0738,-0.3384331291452053,-0.44786989189408255,-0.5437043451487491,-0.5437043451487491,-0.5437043451487491,6.999791666666667,26.541458333333335,26.541458333333335,2025-07-01T18:00:00+00:00,0.0738,764700.0,56880.1231,-0.22903109874151995,0.7500000000000029,0.012196315093779924,0.04252697438220661,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
FLM,FLM,725932a8252a9eab,MONITORING_TAG_ADDED,2025-04-03 07:00:36+00:00,0.027864301762115223,0.0299,0.0199,0.0156,0.0137,0.0136,0.0136,0.0136,-0.440143875372107,-0.508331480294735,-0.5119203016064522,-0.5119203016064522,-0.5119203016064522,3.9579166666666667,14.29125,14.29125,2025-04-17T14:00:00+00:00,0.0136,2469865.0,33944.9788,-0.16646615662696704,0.5,0.014720027230032918,0.024199175064980847,no,yes,no,0.6,yes,low_quote_volume_at_low
FLOW,FLOW,6a25698db0b92de7,MONITORING_TAG_ADDED,2026-01-02 10:59:57+00:00,0.105842702227056,0.096,0.082,0.074,0.074,0.05103,0.03389,0.02804,-0.30084929387711934,-0.30084929387711934,-0.5178694522506675,-0.6798078725607509,-0.7350785702745193,3.472222222222222e-05,29.29170138888889,86.45836805555555,2026-03-29T22:00:00+00:00,0.02804,8745973.93,250862.7170847,3.3501048983009465,0.22695035460992943,0.008989731433437233,0.00830096101394119,yes,no,no,0.85,no,
FOR,FOR,419b41fc1bb70d43,MONITORING_TAG_ADDED,2024-04-03 06:00:16+00:00,0.04463960379763007,0.037405,0.02779,0.02362,0.01814,0.01792,0.01537,0.01422,-0.4708734399373412,-0.5936343861330808,-0.5985627452869244,-0.6556869082064748,-0.6814487856015661,2.208148148148148,28.083148148148148,82.12481481481481,2024-06-24T09:00:00+00:00,0.01422,3491427.0,50746.93875,0.8760160036590118,0.8039215686274522,0.010358006474438259,0.009861897016195787,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
