token_entity_id,token_symbol,anchor_event_id,anchor_event_type,publication_datetime_utc,baseline_vwap_7d,baseline_median_close_7d,baseline_close_1d,post_event_low_7d,post_event_low_14d,post_event_low_30d,post_event_low_60d,post_event_low_90d,drawdown_to_low_7d,drawdown_to_low_14d,drawdown_to_low_30d,drawdown_to_low_60d,drawdown_to_low_90d,days_from_event_to_low_7d,days_from_event_to_low_30d,days_from_event_to_low_90d,low_timestamp_utc,low_price,volume_at_low,quote_volume_at_low,volume_zscore_at_low,wick_ratio_at_low,volatility_before_low,volatility_after_low,capitulation_flag,liquidity_death_flag,low_liquidity_wick_flag,absolute_bottom_confidence_score,manual_review_required,notes
EPIC,EPIC,c518920624770484,MONITORING_TAG_ADDED,2026-05-22 08:00:04+00:00,0.29859622925443613,0.305,0.261,0.191,0.191,0.191,0.191,0.191,-0.3603402143526486,-0.3603402143526486,-0.3603402143526486,-0.3603402143526486,-0.3603402143526486,6.833287037037037,6.833287037037037,6.833287037037037,2026-05-29T04:00:00+00:00,0.191,80223.7,15480.2122,-0.005863327979719132,0.6666666666666666,0.012625996704772116,0.04149887303093026,no,yes,no,0.6,yes,low_quote_volume_at_low
HEI,HEI,ee200e0e804f9834,MONITORING_TAG_ADDED,2026-05-22 08:00:04+00:00,0.07408592954265765,0.0784,0.0648,0.0547,0.0547,0.0547,0.0547,0.0547,-0.26166816914263724,-0.26166816914263724,-0.26166816914263724,-0.26166816914263724,-0.26166816914263724,5.833287037037037,5.833287037037037,5.833287037037037,2026-05-28T04:00:00+00:00,0.0547,562012.4,31045.06807,-0.19724563512311583,0.8181818181818136,0.012128744275526654,0.059519642763039955,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
ALCX,ALCX,4a1694681090a940,MONITORING_TAG_ADDED,2026-05-22 08:00:04+00:00,5.060368559667527,5.06,4.99,3.96,3.53,3.28,3.28,3.28,-0.21744830375355562,-0.3024223515782958,-0.3518258677554703,-0.3518258677554703,-0.3518258677554703,6.208287037037037,14.874953703703703,14.874953703703703,2026-06-06T05:00:00+00:00,3.28,7339.6195,24264.077059,0.4186142711200892,1.0,0.020748295024958032,0.005070107533950906,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
COOKIE,COOKIE,a5602175aafd748b,MONITORING_TAG_ADDED,2026-05-22 08:00:04+00:00,0.018062398115722716,0.0175,0.0155,0.0114,0.0097,0.009,0.009,0.009,-0.3688545714161465,-0.4629727493628616,-0.5017272932232737,-0.5017272932232737,-0.5017272932232737,5.833287037037037,14.833287037037037,14.833287037037037,2026-06-06T04:00:00+00:00,0.009,5111832.2,46772.05868,0.9098881946362785,0.4000000000000007,0.015762703604964623,0.014507147592813506,no,yes,no,0.6,yes,low_quote_volume_at_low
TLM,TLM,53093ab4bf09fee7,MONITORING_TAG_ADDED,2026-05-22 08:00:04+00:00,0.0018112636546694242,0.001788,0.001688,0.001302,0.001136,0.001,0.001,0.001,-0.2811648394514771,-0.37281356191772497,-0.44789926225151844,-0.44789926225151844,-0.44789926225151844,5.833287037037037,16.499953703703703,16.499953703703703,2026-06-07T20:00:00+00:00,0.001,45668226.0,46975.499349,2.9984341790285614,0.8157894736842092,0.012435935066858526,0.010586154254360861,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
AERGO,AERGO,abca945eb2bee96c,MONITORING_TAG_ADDED,2025-03-04 08:01:22+00:00,0.0821164081122088,0.0877,0.0692,0.0579,0.0579,0.0579,0.0579,0.0579,-0.2949034019987582,-0.2949034019987582,-0.2949034019987582,-0.2949034019987582,-0.2949034019987582,6.665717592592593,6.665717592592593,6.665717592592593,2025-03-11T00:00:00+00:00,0.0579,978023.0,58602.473,3.307425013936198,0.2666666666666668,0.01184223080250156,0.00986889363192415,no,yes,no,0.6,yes,low_quote_volume_at_low
BADGER,BADGER,05efae81cc940ff4,MONITORING_TAG_ADDED,2025-03-04 08:01:22+00:00,3.4202633815586525,3.2915,3.089,1.823,1.733,1.171,0.74,0.74,-0.46700011179570666,-0.49331387478988464,-0.6576287059313068,-0.7836423931589813,-0.7836423931589813,6.70738425925926,29.624050925925925,42.74905092592593,2025-04-16T02:00:00+00:00,0.74,84067.9,64554.80555,0.9757951834863362,0.43137254901960786,0.01881012465147202,nan,no,yes,no,0.6,yes,low_quote_volume_at_low
COS,COS,a69cfb015113f6cc,MONITORING_TAG_ADDED,2026-03-06 08:29:56+00:00,0.0011835471915805221,0.0010295,0.000932,0.000827,0.000827,0.000827,0.000827,0.000827,-0.3012530418025706,-0.3012530418025706,-0.3012530418025706,-0.3012530418025706,-0.3012530418025706,1.479212962962963,1.479212962962963,1.479212962962963,2026-03-07T20:00:00+00:00,0.000827,10423624.0,8660.5605121,-0.39084705744712633,0.7142857142857054,0.010386733689415718,0.04929442418934138,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
HIGH,HIGH,8fa523c997c7d4f5,MONITORING_TAG_ADDED,2026-04-14 02:30:06+00:00,0.12750909447751255,0.1305,0.116,0.107,0.107,0.107,0.107,0.107,-0.16084417006921436,-0.16084417006921436,-0.16084417006921436,-0.16084417006921436,-0.16084417006921436,2.520763888888889,2.520763888888889,2.520763888888889,2026-04-16T15:00:00+00:00,0.107,1291902.789,140691.235913,2.4884631337816563,0.5,0.010670652002464313,0.07396518843441492,no,no,no,0.85,no,
MBOX,MBOX,89466c1eb51993df,MONITORING_TAG_ADDED,2026-03-06 08:29:56+00:00,0.018860569316946848,0.0187,0.0186,0.0155,0.0155,0.0123,0.0103,0.0102,-0.17817963288771277,-0.17817963288771277,-0.3478457731947656,-0.45388711088667355,-0.459189177771269,1.8958796296296296,29.22921296296296,72.60421296296296,2026-05-17T23:00:00+00:00,0.0102,10314709.5,108338.39337,3.830592351863502,0.42857142857142894,0.021948524468471103,0.015355511022692694,no,no,no,0.85,no,
