token_symbol,scenario,drawdown_to_bottom,max_rebound_after_bottom,tradable_signal_found,best_signal_type,signal_quality_score,tradeability_tier,stop_failed,max_adverse_excursion,max_favorable_excursion_7d,risk_reward_7d,manual_review_required,main_reason,notes
0G,NO_CLEAR_BOTTOM_REBOUND_PATTERN,-0.48648705565163564,1.0045045045045047,yes,HIGHER_LOW_BREAKOUT,0.794,B,no,-0.07692307692307698,0.3343799058084771,1.5093537414965978,no,control_only_pair_removal_excluded_from_token_risk,control_only_not_token_risk
1000CAT,EPIC_LIKE_REBOUND,-0.6307484474319726,1.492647058823529,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.7,C,yes,-0.2295081967213115,0.06674473067915687,0.4425465838509311,no,false_breakout;next_3_candles_failed_confirmation,control_only_not_token_risk
1000SATS,SLOW_BLEED_THEN_SQUEEZE,-0.47237510408534766,0.6052631578947367,yes,HIGHER_LOW_BREAKOUT,0.0,Manual Review,yes,-0.20760697305863696,0.027733755942947802,0.171905697445973,no,false_breakout;low_liquidity_at_signal,causal_signal_after_confirmation;no_future_low_used
1INCH,NO_CLEAR_BOTTOM_REBOUND_PATTERN,-0.08309859601290936,0.06719817767653757,no,,,,,,,,no,weak_rebound_below_20pct;no_capitulation_reclaim,control_only_not_token_risk
1MBABYDOGE,NO_CLEAR_BOTTOM_REBOUND_PATTERN,-0.5019940252167592,0.3489312536106297,yes,CAPITULATION_RECLAIM,0.661,C,no,-0.09419551934826886,0.11965376782077386,0.8781107540542559,no,causal_signal_found,causal_signal_after_confirmation;no_future_low_used
2Z,NO_CLEAR_BOTTOM_REBOUND_PATTERN,-0.4769772093517889,0.5199999999999998,yes,HIGHER_LOW_BREAKOUT,0.0,Manual Review,no,-0.09253350350989165,0.016209317166560266,0.13252081724648837,no,signal_exists_but_manual_review_required,control_only_not_token_risk
A2Z,MANUAL_REVIEW_REQUIRED,-0.9165801847512701,0.2222222222222221,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.144,Manual Review,yes,-0.8623326959847036,2.369024856596558,18.14586994727592,yes,low_liquidity_at_signal,causal_signal_after_confirmation;no_future_low_used
AAVE,NO_CLEAR_BOTTOM_REBOUND_PATTERN,-0.17830370944712604,0.887292817679558,no,,,,,,,,no,strong_rebound_without_causal_confirmation;no_capitulation_reclaim,control_only_not_token_risk
ACA,MANUAL_REVIEW_REQUIRED,-0.8308562369398311,0.23529411764705888,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0,Manual Review,yes,-0.21518987341772167,0.06329113924050622,0.5307855626326953,yes,false_breakout;low_liquidity_at_signal;next_3_candles_failed_confirmation,causal_signal_after_confirmation;no_future_low_used
ACE,EPIC_LIKE_REBOUND,-0.7130117554276765,0.6413911060433295,yes,HIGHER_LOW_BREAKOUT,0.716,C,no,-0.12303231151615579,0.036868268434134155,0.2246453632187385,no,causal_signal_found,control_only_not_token_risk
ACH,NO_CLEAR_BOTTOM_REBOUND_PATTERN,0.013350797532980963,0.6501650165016502,yes,HIGHER_LOW_BREAKOUT,0.782,C,no,-0.15635491606714624,0.13381294964028778,0.6476924505525117,no,causal_signal_found,control_only_not_token_risk
ACM,NO_CLEAR_BOTTOM_REBOUND_PATTERN,-0.4874910295845205,0.4663402692778458,yes,HIGHER_LOW_BREAKOUT,0.0,Manual Review,no,-0.06060606060606066,0.006493506493506551,0.09587727708533145,yes,signal_exists_but_manual_review_required,control_only_not_token_risk
ACT,NO_CLEAR_BOTTOM_REBOUND_PATTERN,-0.38098540739855125,0.4915254237288136,no,,,,,,,,no,no_capitulation_reclaim,
ACX,MANUAL_REVIEW_REQUIRED,-0.3967379039949509,0.8876221498371335,yes,HIGHER_LOW_BREAKOUT,0.216,Manual Review,no,-0.017593244194229474,0.31738212526389864,4.222055794794981,yes,signal_exists_but_manual_review_required,causal_signal_after_confirmation;no_future_low_used
ADA,DEAD_CAT_BOUNCE,-0.3295883963565015,0.5087082728592163,yes,HIGHER_LOW_BREAKOUT,0.669,C,no,-0.06456324861232843,0.04177621969032996,0.43970235532869906,no,causal_signal_found,causal_signal_after_confirmation;no_future_low_used
ADX,NO_CLEAR_BOTTOM_REBOUND_PATTERN,-0.03798593888656787,0.6768292682926829,no,,,,,,,,yes,bottom_manual_review;low_liquidity_at_bottom;strong_rebound_without_causal_confirmation;no_capitulation_reclaim,control_only_not_token_risk
AERGO,MANUAL_REVIEW_REQUIRED,-0.2949034019987582,0.6649395509499136,no,,,,,,,,yes,bottom_manual_review;low_liquidity_at_bottom;strong_rebound_without_causal_confirmation;no_capitulation_reclaim,
AEVO,NO_CLEAR_BOTTOM_REBOUND_PATTERN,-0.45434473369652384,0.6914498141263941,yes,HIGHER_LOW_BREAKOUT,0.825,C,no,-0.07954545454545447,0.09659090909090917,0.7053941908713703,no,causal_signal_found,control_only_not_token_risk
AGLD,NO_CLEAR_BOTTOM_REBOUND_PATTERN,-0.19134301413019672,1.3575418994413408,yes,HIGHER_LOW_BREAKOUT,0.864,C,no,-0.038186157517899666,0.15393794749403344,1.3556116015132404,no,causal_signal_found,control_only_not_token_risk
AI,MANUAL_REVIEW_REQUIRED,nan,nan,no,,,,,,,,yes,bottom_manual_review;no_capitulation_reclaim,missing_bottom_or_path
