token_entity_id,token_symbol,primary_bottom_rebound_scenario,secondary_flags,anchor_event_id,anchor_event_type,baseline_price,max_drawdown_after_event,days_to_bottom,max_rebound_after_bottom,rebound_sustained,pump_and_dump_after_bottom,low_liquidity_wick_flag,tradable_signal_found,best_signal_type,best_signal_risk_reward,scenario_confidence_score,manual_review_required,notes
0G,0G,NO_CLEAR_BOTTOM_REBOUND_PATTERN,control_spot_pair_removed_only,b08c2a68b0b046a3,SPOT_PAIR_REMOVED,0.864632537283798,-0.48648705565163564,17.6875,1.0045045045045047,yes,no,no,yes,HIGHER_LOW_BREAKOUT,1.5093537414965978,0.8,no,control_only_not_token_risk
1000CAT,1000CAT,EPIC_LIKE_REBOUND,control_spot_pair_removed_only;epic_like_candidate,7353c4ecea8627e7,SPOT_PAIR_REMOVED,0.007366252033561573,-0.6307484474319726,30.58328703703704,1.492647058823529,yes,no,no,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.4425465838509311,0.8,no,control_only_not_token_risk
1000SATS,1000SATS,SLOW_BLEED_THEN_SQUEEZE,,51b4ab486a5915e6,SPOT_PAIR_REMOVED,1.728500696349862e-05,-0.47237510408534766,28.770833333333332,0.6052631578947367,yes,no,no,yes,HIGHER_LOW_BREAKOUT,0.171905697445973,0.8,no,
1INCH,1INCH,NO_CLEAR_BOTTOM_REBOUND_PATTERN,control_spot_pair_removed_only,1a2f74c6eb0eee90,SPOT_PAIR_REMOVED,0.09575729693313477,-0.08309859601290936,31.979166666666668,0.06719817767653757,no,no,no,no,,,0.8,no,control_only_not_token_risk
1MBABYDOGE,1MBABYDOGE,NO_CLEAR_BOTTOM_REBOUND_PATTERN,,100dea1a92e98d17,SPOT_PAIR_REMOVED,0.0006951723825214848,-0.5019940252167592,17.6875,0.3489312536106297,no,no,no,yes,CAPITULATION_RECLAIM,0.8781107540542559,0.8,no,
2Z,2Z,NO_CLEAR_BOTTOM_REBOUND_PATTERN,control_spot_pair_removed_only,4b887ae093ae6180,SPOT_PAIR_REMOVED,0.12523354846319837,-0.4769772093517889,45.8125,0.5199999999999998,no,no,no,yes,HIGHER_LOW_BREAKOUT,0.13252081724648837,0.8,no,control_only_not_token_risk
A2Z,A2Z,MANUAL_REVIEW_REQUIRED,,1fc6e5215a5c6f00,MONITORING_TAG_ADDED,0.0008631042850588932,-0.9165801847512701,18.66640046296296,0.2222222222222221,no,no,no,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,18.14586994727592,0.55,yes,
AAVE,AAVE,NO_CLEAR_BOTTOM_REBOUND_PATTERN,control_spot_pair_removed_only,ae540b1f433c0ffa,SPOT_PAIR_REMOVED,99.1242152805592,-0.17830370944712604,81.7395486111111,0.887292817679558,no,yes,no,no,,,0.8,no,control_only_not_token_risk
ACA,ACA,MANUAL_REVIEW_REQUIRED,,dccc644ea3175a5f,MONITORING_TAG_ADDED,0.010050621845248084,-0.8308562369398311,41.54170138888889,0.23529411764705888,no,no,no,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.5307855626326953,0.55,yes,
ACE,ACE,EPIC_LIKE_REBOUND,control_spot_pair_removed_only;epic_like_candidate,1aa297da122de509,SPOT_PAIR_REMOVED,6.111748593096038,-0.7130117554276765,61.020810185185184,0.6413911060433295,yes,no,no,yes,HIGHER_LOW_BREAKOUT,0.2246453632187385,0.8,no,control_only_not_token_risk
