token_entity_id,token_symbol,primary_bottom_rebound_scenario,secondary_flags,anchor_event_id,anchor_event_type,baseline_price,max_drawdown_after_event,days_to_bottom,max_rebound_after_bottom,rebound_sustained,pump_and_dump_after_bottom,low_liquidity_wick_flag,tradable_signal_found,best_signal_type,best_signal_risk_reward,scenario_confidence_score,manual_review_required,notes
A2Z,A2Z,MANUAL_REVIEW_REQUIRED,,1fc6e5215a5c6f00,MONITORING_TAG_ADDED,0.0008631042850588,-0.91658018475127,18.66640046296296,0.2222222222222221,no,no,no,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,18.14586994727592,0.55,yes,
ACA,ACA,MANUAL_REVIEW_REQUIRED,,dccc644ea3175a5f,MONITORING_TAG_ADDED,0.010050621845248,-0.8308562369398311,41.54170138888889,0.2352941176470588,no,no,no,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.5307855626326953,0.55,yes,
AERGO,AERGO,MANUAL_REVIEW_REQUIRED,,abca945eb2bee96c,MONITORING_TAG_ADDED,0.0821164081122088,-0.2949034019987582,6.665717592592593,0.6649395509499136,yes,no,no,no,,,0.55,yes,
AKRO,AKRO,MANUAL_REVIEW_REQUIRED,,2ebc47e2d093dcb6,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0043722152469566,-0.7927823886002305,6.7491666666666665,,no,no,no,no,,,0.55,yes,
ALCX,ALCX,MANUAL_REVIEW_REQUIRED,,4a1694681090a940,MONITORING_TAG_ADDED,5.060368559667527,-0.3518258677554703,14.874953703703705,0.0762195121951219,no,no,yes,no,,,0.55,yes,
ALPACA,ALPACA,EPIC_LIKE_REBOUND,epic_like_candidate,064b0dde744232dc,MONITORING_TAG_ADDED,0.1106218583848778,-0.7486934281715131,43.74905092592593,44.68345323741008,yes,no,no,yes,CAPITULATION_RECLAIM,16.41835518474373,0.8,no,
ALPHA,ALPHA,DELISTING_DEATH_SPIRAL,,cdee2c69a544c7e6,MONITORING_TAG_ADDED,0.0365921477087859,-0.7485799392477028,57.74961805555556,,no,no,no,no,,,0.8,no,
AMB,AMB,MANUAL_REVIEW_REQUIRED,,78605f349f17de8a,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0041680008585844,-0.9376199744622176,6.791388888888889,,no,no,no,no,,,0.55,yes,
ANT,ANT,NO_CLEAR_BOTTOM_REBOUND_PATTERN,,e0c4360ac0bda986,MONITORING_TAG_ADDED,5.857691260456209,-0.0684042983216227,3.7915625,0.3906908557815651,no,no,no,no,,,0.8,no,
ARDR,ARDR,MANUAL_REVIEW_REQUIRED,,afca87c30daaf7ba,MONITORING_TAG_ADDED,0.0567051126218466,-0.347677867308406,3.9995833333333337,4.073803730738037,yes,no,no,yes,HIGHER_LOW_BREAKOUT,3.3324330233694734,0.55,yes,
AST,AST,EPIC_LIKE_REBOUND,epic_like_candidate,c9bba63a0a1d11c1,MONITORING_TAG_ADDED,0.063323374680847,-0.864189171165554,12.040717592592593,5.1976744186046515,yes,no,no,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.6730769230769227,0.8,no,
ATA,ATA,MANUAL_REVIEW_REQUIRED,,c94c0613623769e6,MONITORING_TAG_ADDED,0.0114306584594765,-0.8250319518258451,73.95806712962963,0.5,no,yes,yes,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0,0.55,yes,
BADGER,BADGER,MANUAL_REVIEW_REQUIRED,,05efae81cc940ff4,MONITORING_TAG_ADDED,3.4202633815586525,-0.7836423931589813,42.74905092592593,,no,no,no,no,,,0.55,yes,
