token_entity_id,token_symbol,primary_bottom_rebound_scenario,secondary_flags,anchor_event_id,anchor_event_type,baseline_price,max_drawdown_after_event,days_to_bottom,max_rebound_after_bottom,rebound_sustained,pump_and_dump_after_bottom,low_liquidity_wick_flag,tradable_signal_found,best_signal_type,best_signal_risk_reward,scenario_confidence_score,manual_review_required,notes
MDT,MDT,MANUAL_REVIEW_REQUIRED,,9f755b05acbad2ef,MONITORING_TAG_ADDED,0.024933074539484384,-0.5078825926353749,26.583125,2.9804400977995114,yes,no,yes,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.16872890888638875,0.55,yes,
MDX,MDX,DEAD_CAT_BOUNCE,,92ea1ce575290a09,MONITORING_TAG_ADDED,0.0869267373699886,-0.36613288768130803,19.958229166666666,0.726315789473684,no,yes,no,no,,,0.8,no,
MLN,MLN,MANUAL_REVIEW_REQUIRED,,d83b4d4e12311776,MONITORING_TAG_ADDED,3.3112508683706725,-0.49867887816762846,42.64576388888889,0.06626506024096401,no,no,no,no,,,0.55,yes,
MOB,MOB,EPIC_LIKE_REBOUND,epic_like_candidate,018313d3408ec969,MONITORING_TAG_ADDED,0.545036709151276,-0.906061373224332,85.33322916666667,4.58984375,yes,no,no,yes,CAPITULATION_RECLAIM,19.131695667007858,0.8,no,
MOVE,MOVE,SLOW_BLEED_THEN_SQUEEZE,,18140f8172feb64b,MONITORING_TAG_ADDED,0.19418493922698063,-0.42837997405013306,46.49961805555556,0.8243243243243243,yes,no,no,yes,HIGHER_LOW_BREAKOUT,0.26670850329463514,0.8,no,
MULTI,MULTI,NO_BOTTOM_CONTINUED_BLEED,,251d2bba37e3dd64,SPOT_TOKEN_DELISTING_ANNOUNCED,2.313931872051166,-0.6529716325277168,13.791527777777778,nan,no,no,no,no,,,0.8,no,
NFP,NFP,MANUAL_REVIEW_REQUIRED,,1713e6ad64f92db2,MONITORING_TAG_ADDED,0.015524919842451055,-0.37519806231292097,25.833275462962963,0.05670103092783507,no,no,yes,no,,,0.55,yes,
NKN,NKN,MANUAL_REVIEW_REQUIRED,,adf7b79baadd3250,MONITORING_TAG_ADDED,0.03868446993121762,-0.58639733132059,13.832916666666666,2.75,yes,no,yes,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,49.41176470588253,0.55,yes,
NOM,NOM,MANUAL_REVIEW_REQUIRED,,5b4814473eb320a9,MONITORING_TAG_ADDED,0.003003524767272693,-0.3307862742130302,22.666608796296295,0.23880597014925375,no,no,no,no,,,0.55,yes,
NON,NON,MANUAL_REVIEW_REQUIRED,,94faf9340260e22c,SPOT_TOKEN_DELISTING_ANNOUNCED,,nan,,nan,no,,,no,,,0.55,yes,
