token_entity_id,token_symbol,primary_bottom_rebound_scenario,secondary_flags,anchor_event_id,anchor_event_type,baseline_price,max_drawdown_after_event,days_to_bottom,max_rebound_after_bottom,rebound_sustained,pump_and_dump_after_bottom,low_liquidity_wick_flag,tradable_signal_found,best_signal_type,best_signal_risk_reward,scenario_confidence_score,manual_review_required,notes
EPIC,EPIC,MANUAL_REVIEW_REQUIRED,,c518920624770484,MONITORING_TAG_ADDED,0.29859622925443613,-0.29001112797257333,4.374953703703704,0.02358490566037741,no,no,no,no,,,0.55,yes,
HEI,HEI,MANUAL_REVIEW_REQUIRED,,ee200e0e804f9834,MONITORING_TAG_ADDED,0.07408592954265765,-0.2306231378634428,4.291620370370371,0.028070175438596356,no,no,yes,no,,,0.55,yes,
ALCX,ALCX,MANUAL_REVIEW_REQUIRED,,4a1694681090a940,MONITORING_TAG_ADDED,5.060368559667527,-0.18978233469433792,4.291620370370371,nan,no,no,no,no,,,0.55,yes,
COOKIE,COOKIE,MANUAL_REVIEW_REQUIRED,,a5602175aafd748b,MONITORING_TAG_ADDED,0.018062398115722716,-0.3024182105125831,4.374953703703704,nan,no,no,no,no,,,0.55,yes,
TLM,TLM,MANUAL_REVIEW_REQUIRED,,53093ab4bf09fee7,MONITORING_TAG_ADDED,0.0018112636546694242,-0.25190350035080744,4.374953703703704,0.01623616236162362,no,no,no,no,,,0.55,yes,
AERGO,AERGO,MANUAL_REVIEW_REQUIRED,,abca945eb2bee96c,MONITORING_TAG_ADDED,0.0821164081122088,-0.2949034019987582,6.665717592592593,0.6649395509499136,yes,no,no,no,,,0.55,yes,
BADGER,BADGER,MANUAL_REVIEW_REQUIRED,,05efae81cc940ff4,MONITORING_TAG_ADDED,3.4202633815586525,-0.7836423931589813,42.74905092592593,nan,no,no,no,no,,,0.55,yes,
COS,COS,MANUAL_REVIEW_REQUIRED,,a69cfb015113f6cc,MONITORING_TAG_ADDED,0.0011835471915805221,-0.3012530418025706,1.479212962962963,2.2442563482466746,yes,no,yes,yes,HIGHER_LOW_BREAKOUT,1.4705053805848216,0.55,yes,
HIGH,HIGH,NO_CLEAR_BOTTOM_REBOUND_PATTERN,,8fa523c997c7d4f5,MONITORING_TAG_ADDED,0.12750909447751255,-0.16084417006921436,2.520763888888889,4.5046728971962615,yes,no,no,no,,,0.8,no,
MBOX,MBOX,NO_CLEAR_BOTTOM_REBOUND_PATTERN,,89466c1eb51993df,MONITORING_TAG_ADDED,0.018860569316946848,-0.459189177771269,72.60421296296296,0.392156862745098,no,no,no,no,,,0.8,no,
CVX,CVX,DEAD_CAT_BOUNCE,tag_removed_rebound,f516a957212c330b,MONITORING_TAG_ADDED,3.190098462361746,-0.43575409309862034,67.5832986111111,3.528888888888888,no,yes,no,no,,,0.8,no,
ZEC,ZEC,NO_CLEAR_BOTTOM_REBOUND_PATTERN,tag_removed_rebound,0530e835539c12c2,MONITORING_TAG_ADDED,28.123234666535097,-0.34218093262174243,5.2082291666666665,0.9270270270270269,yes,no,no,no,,,0.8,no,
AKRO,AKRO,MANUAL_REVIEW_REQUIRED,,2ebc47e2d093dcb6,SPOT_TOKEN_DELISTING_ANNOUNCED,0.004372215246956601,-0.7927823886002305,6.7491666666666665,nan,no,no,no,no,,,0.55,yes,
0G,0G,NO_CLEAR_BOTTOM_REBOUND_PATTERN,control_spot_pair_removed_only,b08c2a68b0b046a3,SPOT_PAIR_REMOVED,0.864632537283798,-0.48648705565163564,17.6875,1.0045045045045047,yes,no,no,yes,HIGHER_LOW_BREAKOUT,1.5093537414965978,0.8,no,control_only_not_token_risk
