token_entity_id,token_symbol,final_outcome,primary_scenario,secondary_flags,anchor_event_id,anchor_event_type,spot_pair,futures_pair,fallback_provider,price_window_rows,missing_price_rows,benchmark_gap_rows,unresolved_pair_rows,true_data_gap_rows,true_data_gap_rate,benchmark_gap_rate,is_research_eligible,exclusion_reason,data_quality_score,confidence_level
0G,0G,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,b08c2a68b0b046a3,SPOT_PAIR_REMOVED,0GUSDT,0GUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
1000CAT,1000CAT,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,7353c4ecea8627e7,SPOT_PAIR_REMOVED,1000CATUSDT,1000CATUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
1000CHEEMS,1000CHEEMS,seed_tag_only,SEED_TAG_ONLY,,9b7bd3558b791b76,SEED_TAG_ADDED,1000CHEEMSUSDT,1000CHEEMSUSDT,,18.0,18.0,0.0,0.0,18.0,1.0,0.0,no,true_data_gap_heavy,0.75,medium
1000SATS,1000SATS,seed_tag_only,SEED_TAG_ONLY,,a8f1073b97c72c99,SEED_TAG_ADDED,1000SATSUSDT,1000SATSUSDT,,36.0,18.0,0.0,0.0,18.0,0.5,0.0,no,true_data_gap_heavy,0.825,medium
1000WHY,1000WHY,futures_only_delisting,FUTURES_ONLY_DELISTING,,44395bed70e6b38d,FUTURES_CONTRACT_DELISTING_ANNOUNCED,,1000WHYUSDT,,18.0,1.0,1.0,0.0,1.0,0.05555555555555555,0.05555555555555555,yes,,0.967,high
1000X,1000X,futures_only_delisting,FUTURES_ONLY_DELISTING,,8a75f9eb3a0e4920,FUTURES_CONTRACT_DELISTING_ANNOUNCED,,1000XUSDT,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,,1.0,high
1INCH,1INCH,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,1a2f74c6eb0eee90,SPOT_PAIR_REMOVED,1INCHUSDT,1INCHUSDT,,18.0,2.0,2.0,0.0,2.0,0.1111111111111111,0.1111111111111111,no,pair_removal_control_only,0.633,low
1MBABYDOGE,1MBABYDOGE,seed_tag_only,SEED_TAG_ONLY,,51f8479890f4f59e,SEED_TAG_ADDED,1MBABYDOGEUSDT,1MBABYDOGEUSDT,,36.0,18.0,0.0,0.0,18.0,0.5,0.0,no,true_data_gap_heavy,0.825,medium
2Z,2Z,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,4b887ae093ae6180,SPOT_PAIR_REMOVED,2ZUSDT,2ZUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
42,42,futures_only_delisting,FUTURES_ONLY_DELISTING,,2d5454a0a438f476,FUTURES_CONTRACT_DELISTING_ANNOUNCED,,42USDT,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,,1.0,high
A2Z,A2Z,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED;FALLBACK_PROVIDER_UNAVAILABLE,1fc6e5215a5c6f00,MONITORING_TAG_ADDED,A2ZUSDT,A2ZUSDT,ccxt_gateio,36.0,2.0,2.0,0.0,1.0,0.027777777777777776,0.05555555555555555,no,fallback_provider_unavailable,0.776,medium
AAVE,AAVE,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,ae540b1f433c0ffa,SPOT_PAIR_REMOVED,AAVEUSDT,AAVEUSDT,,54.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
ACA,ACA,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED,dccc644ea3175a5f,MONITORING_TAG_ADDED,ACAUSDT,,ccxt_mexc,54.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,,1.0,high
ACE,ACE,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,1aa297da122de509,SPOT_PAIR_REMOVED,ACEUSDT,ACEUSDT,,54.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
ACH,ACH,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,f5a65ca05b777f3c,SPOT_PAIR_REMOVED,ACHUSDT,ACHUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
ACM,ACM,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,674d3518e8df2951,SPOT_PAIR_REMOVED,ACMUSDT,,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
ACT,ACT,seed_tag_only,SEED_TAG_ONLY,,b21fc9440b923c0f,SEED_TAG_ADDED,ACTUSDT,ACTUSDT,,72.0,18.0,0.0,0.0,18.0,0.25,0.0,no,true_data_gap_heavy,0.912,high
ACX,ACX,seed_tag_only,SEED_TAG_ONLY,,38c04165abb74100,SEED_TAG_ADDED,ACXUSDT,ACXUSDT,,36.0,18.0,0.0,0.0,18.0,0.5,0.0,no,true_data_gap_heavy,0.825,medium
ADA,ADA,futures_only_delisting,FUTURES_ONLY_DELISTING,,62d02880ea5d7aa7,FUTURES_CONTRACT_DELISTING_ANNOUNCED,ADAUSDT,ADAUSDT,,36.0,18.0,0.0,0.0,18.0,0.5,0.0,no,true_data_gap_heavy,0.825,medium
ADX,ADX,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,3e05b53e92bc2e7e,SPOT_PAIR_REMOVED,ADXUSDT,,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
AERGO,AERGO,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED;FALLBACK_PROVIDER_UNAVAILABLE,abca945eb2bee96c,MONITORING_TAG_ADDED,AERGOUSDT,AERGOUSDT,ccxt_okx,72.0,11.0,0.0,0.0,7.0,0.09722222222222222,0.0,no,fallback_provider_unavailable,0.766,medium
AEVO,AEVO,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,5166737bad9bfd8b,SPOT_PAIR_REMOVED,AEVOUSDT,AEVOUSDT,,54.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
AGLD,AGLD,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,647ad916fd08af10,SPOT_PAIR_REMOVED,AGLDUSDT,AGLDUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
