futures_symbol,query_start_utc,query_end_utc,kline_rows,funding_rows,open_interest_rows,confirmed_binance_perp,inferred_from_futures_klines,funding_available,oi_available,api_unavailable,no_binance_perp_evidence,manual_review_needed,availability_status,http_statuses,api_errors,kline_cache_path,funding_cache_path,open_interest_cache_path,cache_hit_all,event_id,token_entity_id,token_symbol,spot_symbol,entry_time,event_time,feasibility_tier,low_liquidity_flag,gross_return,net_return_20bps,net_return_50bps,net_return_100bps,net_return_200bps,net_return_500bps,max_adverse_excursion,max_favorable_excursion,collected_at_utc
BETAUSDT,2023-10-02T08:59:59Z,2023-10-06T08:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/c517ea0747c9caaaa4dee92e.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/e6eb23d98eff2c521c8febef.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/76eeef05ec56b72e02f8b7ae.json,yes,08d7f3a2766ef543,BETA,BETA,BETAUSDT,2023-10-04T08:59:59Z,2023-10-04T06:00:16Z,medium,no,0.0927431967469503,0.0907431967469502,0.0877431967469502,0.0827431967469503,0.0727431967469502,0.0427431967469502,0.1343924431086303,0.251253581661891,2026-05-27T11:42:09Z
BETABUSD,2023-10-02T08:59:59Z,2023-10-06T08:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/4f0aaad143dbfea613098680.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/f35983ff39126c210e879339.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/d2ff15b359a1b7b8d236447b.json,yes,08d7f3a2766ef543,BETA,BETA,BETAUSDT,2023-10-04T08:59:59Z,2023-10-04T06:00:16Z,medium,no,0.0927431967469503,0.0907431967469502,0.0877431967469502,0.0827431967469503,0.0727431967469502,0.0427431967469502,0.1343924431086303,0.251253581661891,2026-05-27T11:42:09Z
BONDUSDT,2023-10-02T08:59:59Z,2023-10-06T08:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,200;200;400,http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/091620af70750b6644822fe8.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/9dfe526b475624322ac9ae67.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/64c5989838c115aee78b986b.json,yes,63e51c3ccd2baf4b,BOND,BOND,BONDUSDT,2023-10-04T08:59:59Z,2023-10-04T06:00:16Z,medium,no,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,2.174976481655692,0.3287499999999999,2026-05-27T11:42:09Z
BONDBUSD,2023-10-02T08:59:59Z,2023-10-06T08:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/425cce4a14d862d3c3d8498e.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/85d5ea43172272c610b1076b.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/817af0b8b639dc3cbc024b2a.json,yes,63e51c3ccd2baf4b,BOND,BOND,BONDUSDT,2023-10-04T08:59:59Z,2023-10-04T06:00:16Z,medium,no,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,2.174976481655692,0.3287499999999999,2026-05-27T11:42:09Z
WTCUSDT,2023-10-02T08:59:59Z,2023-10-06T08:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/e8f9dd48a06a700a2188364a.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/cea1998666e618186f807b3b.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/9982f7bca95bad9601170077.json,yes,368a3d7cdf4b4eeb,WTC,WTC,WTCUSDT,2023-10-04T08:59:59Z,2023-10-04T06:00:16Z,medium,no,0.0130123617436563,0.0110123617436563,0.0080123617436562,0.0030123617436562,-0.0069876382563437,-0.0369876382563437,0.1066152858060371,0.1921898928024503,2026-05-27T11:42:09Z
WTCBUSD,2023-10-02T08:59:59Z,2023-10-06T08:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/3a2173069f7794abf3ef8517.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/f72b3fadc183c2e2c3781536.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/88052016bed7f2da83dc8242.json,yes,368a3d7cdf4b4eeb,WTC,WTC,WTCUSDT,2023-10-04T08:59:59Z,2023-10-04T06:00:16Z,medium,no,0.0130123617436563,0.0110123617436563,0.0080123617436562,0.0030123617436562,-0.0069876382563437,-0.0369876382563437,0.1066152858060371,0.1921898928024503,2026-05-27T11:42:09Z
ANTUSDT,2024-01-02T09:59:59Z,2024-01-06T09:59:59Z,96,12,0,yes,yes,yes,no,no,no,no,confirmed_binance_perp;inferred_from_futures_klines;funding_available,200;200;400,http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/236ee0bd60af67291aa2c7cc.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/d55a7e3e4a04a7b71fed6d4c.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/b506ff8cb3896d57265df4f7.json,yes,e0c4360ac0bda986,ANT,ANT,ANTUSDT,2024-01-04T09:59:59Z,2024-01-04T07:00:09Z,low,yes,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,0.2404749246854509,0.0340846619021439,2026-05-27T11:42:09Z
ANTBUSD,2024-01-02T09:59:59Z,2024-01-06T09:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/7b31ed6d224d574c08c8e7b0.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/59b419e647818f5e6bb8d659.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/9083e0b0d3e32eced70f1f8b.json,yes,e0c4360ac0bda986,ANT,ANT,ANTUSDT,2024-01-04T09:59:59Z,2024-01-04T07:00:09Z,low,yes,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,0.2404749246854509,0.0340846619021439,2026-05-27T11:42:09Z
FIROUSDT,2024-01-02T09:59:59Z,2024-01-06T09:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/9c0455eb3e50228e8e32d5c1.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/51879966bda161178417ea52.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/f2a36c8ab6f1b108a3794cec.json,yes,4a8314d988bfa109,FIRO,FIRO,FIROUSDT,2024-01-04T09:59:59Z,2024-01-04T07:00:09Z,medium,no,0.1733080328905756,0.1713080328905755,0.1683080328905755,0.1633080328905755,0.1533080328905756,0.1233080328905755,0.0495956873315364,0.3250000000000002,2026-05-27T11:42:09Z
FIROBUSD,2024-01-02T09:59:59Z,2024-01-06T09:59:59Z,0,0,0,no,no,no,no,no,yes,no,no_binance_perp_evidence,400;200;400,http_400:Bad Request;http_400:,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_klines/b080e9ad1e40dbe68a80edf4.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/fapi_v1_fundingRate/96d08f83c0c51d3c3d387d5d.json,/Users/rus_dor_/Documents/rus_dor/data/raw/derivatives_availability/futures_data_openInterestHist/4a226eaa2da786fd3b7dd755.json,yes,4a8314d988bfa109,FIRO,FIRO,FIROUSDT,2024-01-04T09:59:59Z,2024-01-04T07:00:09Z,medium,no,0.1733080328905756,0.1713080328905755,0.1683080328905755,0.1633080328905755,0.1533080328905756,0.1233080328905755,0.0495956873315364,0.3250000000000002,2026-05-27T11:42:09Z
