token_symbol,fallback_provider_unavailable,true_data_gap,expected_post_delisting_missing,low_liquidity_fallback,suspicious_fallback_spike,fallback_exchange,fallback_pair,fallback_rows_count,fallback_quote_volume,reason,notes
0G,no,no,no,no,no,,,0,,,
1000CAT,no,no,no,no,no,,,0,,,
1000CHEEMS,no,yes,no,no,no,,,0,,true_data_gap,
1000SATS,no,yes,no,no,no,,,0,,true_data_gap,
1000WHY,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
1000X,no,no,no,no,no,,,0,,,
1INCH,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
1MBABYDOGE,no,yes,no,no,no,,,0,,true_data_gap,
2Z,no,no,no,no,no,,,0,,,
42,no,no,no,no,no,,,0,,,
A2Z,yes,yes,yes,no,no,ccxt_gateio,A2Z/USDT,109,9659369.60236079,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
AAVE,no,no,no,no,no,,,0,,,
ACA,no,no,no,no,no,ccxt_mexc,ACA/USDT,387,264736334.9550563,,
ACE,no,no,no,no,no,,,0,,,
ACH,no,no,no,no,no,,,0,,,
ACM,no,no,no,no,no,,,0,,,
ACT,no,yes,no,no,no,,,0,,true_data_gap,
ACX,no,yes,no,no,no,,,0,,true_data_gap,
ADA,no,yes,no,no,no,,,0,,true_data_gap,
ADX,no,no,no,no,no,,,0,,,
AERGO,yes,yes,yes,no,no,ccxt_okx,AERGO/USDT,300,92236569.0624276,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
AEVO,no,no,no,no,no,,,0,,,
AGLD,no,no,no,no,no,,,0,,,
AI,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
AIA,no,yes,no,no,no,,,0,,true_data_gap,
AIGENSYN,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
AIXBT,no,yes,no,no,no,,,0,,true_data_gap,
AKRO,yes,no,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable,
ALCX,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
ALGO,no,no,no,no,no,,,0,,,
ALICE,no,no,no,no,no,,,0,,,
ALLO,no,no,no,no,no,,,0,,,
ALPACA,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
ALPHA,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
ALPINE,no,no,no,no,no,,,0,,,
ALT,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
AMB,yes,no,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable,
AMP,no,no,no,no,no,,,0,,,
ANIME,no,no,no,no,no,,,0,,,
ANKR,no,no,no,no,no,,,0,,,
ANT,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
APE,no,no,no,no,no,,,0,,,
API3,no,no,no,no,no,,,0,,,
APT,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
AR,no,no,no,no,no,,,0,,,
ARB,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
ARDR,no,no,no,no,no,,,0,,,
ARPA,no,no,no,no,no,,,0,,,
AST,no,no,no,no,no,ccxt_mexc,AST/USDT,338,36679317.67741689,,
ASTER,no,yes,no,no,no,,,0,,true_data_gap,
ASTR,no,no,no,no,no,,,0,,,
AT,no,no,no,no,no,,,0,,,
ATA,yes,yes,yes,no,no,ccxt_kucoin,ATA/USDT,244,463766020.34570825,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
ATOM,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
AUCTION,no,no,no,no,no,,,0,,,
AUDIO,no,yes,no,no,no,,,0,,true_data_gap,
AVA,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
AVAX,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
AVNT,no,yes,no,no,no,,,0,,true_data_gap,
AWE,no,no,no,no,no,,,0,,,
AXL,no,yes,no,no,no,,,0,,true_data_gap,
AXS,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
B3,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
BABY,no,no,no,no,no,,,0,,,
BADGER,no,no,no,no,no,ccxt_gateio,BADGER/USDT,668,160590505.67730987,,
BAKE,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
BAL,no,no,no,no,no,ccxt_mexc,BAL/USDT,411,60225057.390349,,
BANANA,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
BAND,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
BANK,no,yes,no,no,no,,,0,,true_data_gap,
BARD,no,no,no,no,no,,,0,,,
BASE,no,no,no,no,no,,,0,,unresolved_pair_or_symbol,
BAT,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
BB,no,no,no,no,no,,,0,,,
BCH,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
BDXN,no,no,no,no,no,,,0,,benchmark_gap;unresolved_pair_or_symbol,
BEL,no,no,no,no,no,,,0,,,
BETA,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
BICO,no,no,no,no,no,,,0,,,
BID,no,no,no,no,no,,,0,,,
BIFI,yes,no,yes,no,no,,,0,,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable,
BLUEBIRD,no,yes,no,no,no,,,0,,true_data_gap,
BLUR,no,yes,no,no,no,,,0,,true_data_gap,
BLZ,no,no,no,no,no,ccxt_gateio,BLZ/USDT,256,52164076.023530416,,
BMT,no,no,no,no,no,,,0,,,
BNB,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
BNT,no,no,no,no,no,,,0,,,
BNX,no,yes,no,no,no,,,0,,true_data_gap,
BOB,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
BOME,no,yes,no,no,no,,,0,,true_data_gap,
BOND,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
BONK,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
BREV,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
BSC,no,no,no,no,no,,,0,,unresolved_pair_or_symbol,
BSW,no,no,no,no,no,ccxt_kucoin,BSW/USDT,718,53464297.53584283,,
BTC,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
BTS,no,no,no,no,no,ccxt_gateio,BTS/USDT,130,15168581.994169183,,
BURGER,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
C98,no,no,no,no,no,,,0,,,
CAKE,no,no,no,no,no,,,0,,,
CATI,no,no,no,no,no,,,0,,,
CELO,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
CELR,no,no,no,no,no,,,0,,,
CETUS,no,yes,no,no,no,,,0,,true_data_gap,
CFG,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
CFX,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
CGPT,no,yes,no,no,no,,,0,,true_data_gap,
CHESS,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
CHIP,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
CHR,no,no,no,no,no,,,0,,,
CHZ,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
CITY,no,no,no,no,no,,,0,,,
CLV,yes,no,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable,
COMBO,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
COMMON,no,no,no,no,no,,,0,,,
COMP,no,no,no,no,no,,,0,,,
COOKIE,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
COS,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
COTI,no,no,no,no,no,,,0,,,
COW,no,yes,no,no,no,,,0,,true_data_gap,
CREAM,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
CRV,no,no,no,no,no,,,0,,,
CTK,no,yes,no,no,no,,,0,,true_data_gap,
CTSI,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
CTXC,yes,yes,yes,no,no,ccxt_mexc,CTXC/USDT,500,49119588.091276504,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
CUDIS,no,no,no,no,no,,,0,,,
CVP,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
