date_utc,tokens,pnl_no_liq,pnl_liq_cap,touched,winners,losers,margin,roi_no_liq,roi_liq_cap
2026-05-22,9,509.4321105596573,509.4321105596573,0,7,2,900,0.5660356783996192,0.5660356783996192
2026-05-23,9,565.074835990568,477.2699579417876,1,7,2,900,0.6278609288784088,0.5302999532686529
2026-05-24,9,1082.7432942582461,897.3161585798545,1,9,0,900,1.2030481047313846,0.9970179539776161
2026-05-25,9,962.5666840250665,814.0229947046781,1,9,0,900,1.0695185378056293,0.904469994116309
2026-05-26,9,1404.1147966590413,1188.7963801358055,1,9,0,900,1.5601275518433793,1.3208848668175617
2026-05-27,9,1441.6604135546913,1241.4906342677643,1,9,0,900,1.601844903949657,1.3794340380752936
2026-05-28,9,1824.1441072138505,1585.3040369150808,1,9,0,900,2.026826785793167,1.7614489299056453
2026-05-29,9,1023.3742622477857,1292.4102895116612,1,8,1,900,1.1370825136086509,1.4360114327907347
2026-05-30,9,672.3007890382778,1000.3678675907934,1,8,1,900,0.7470008767091976,1.1115198528786594
2026-05-31,9,566.8725213392196,778.974432167245,1,8,1,900,0.6298583570435773,0.8655271468524944
2026-06-01,9,423.70989400826465,616.919353467724,2,6,3,900,0.47078877112029405,0.6854659482974711
