hold_window,stop_model,be_model,token_trades,clusters,total_margin_usdt,total_pnl_usdt,roi_on_margin,token_win_rate,cluster_win_rate,median_token_pnl,median_cluster_roi,p25_token_pnl,p75_token_pnl,best_token_pnl,worst_token_pnl,profit_factor,stopped_out_rate,breakeven_exit_rate,median_mfe,median_mae,max_mae
12h,no_stop,be_after_10,53,17,5300.0,3821.015252154444,0.7209462739914045,0.7547169811320755,0.8823529411764706,50.75007979572299,0.5825242718446599,3.7735849056603765,119.19831223628674,831.1926605504588,-238.63636363636365,8.221161087719752,0.0,0.11320754716981132,0.09915474642392708,0.0122699386503069,1.0609756097560972
12h,no_stop,be_after_15,53,17,5300.0,4373.307196155789,0.8251523011614696,0.8301886792452831,0.8823529411764706,60.60606060606055,0.6211709224286965,19.543973941368087,129.89520132377285,831.1926605504588,-238.63636363636365,9.264912245958365,0.0,0.03773584905660377,0.09915474642392708,0.0122699386503069,1.0609756097560972
12h,no_stop,be_after_20,53,17,5300.0,4373.307196155789,0.8251523011614696,0.8301886792452831,0.8823529411764706,60.60606060606055,0.6211709224286965,19.543973941368087,129.89520132377285,831.1926605504588,-238.63636363636365,9.264912245958365,0.0,0.03773584905660377,0.09915474642392708,0.0122699386503069,1.0609756097560972
12h,no_stop,be_after_5,53,17,5300.0,2467.4416648331203,0.4655550311005887,0.4716981132075472,0.7058823529411765,0.0,0.22900763358778628,0.0,68.70229007633588,831.1926605504588,-238.63636363636365,5.663104583595937,0.0,0.41509433962264153,0.07389162561576357,0.010355029585798814,1.0609756097560972
12h,no_stop,no_be,53,17,5300.0,4442.3813205109345,0.8381851548133838,0.8490566037735849,0.8823529411764706,61.480552070263485,0.6211709224286965,20.88772845953013,129.89520132377285,831.1926605504588,-238.63636363636365,9.236124733959828,0.0,0.0,0.09915474642392708,0.013539042821158809,1.0609756097560972
12h,stop_10,be_after_10,53,17,5300.0,3291.4046403284165,0.6210197434581918,0.6792452830188679,0.7647058823529411,42.13036565977735,0.42130365659777347,0.0,116.27906976744184,831.1926605504588,-90.90909090909105,5.720003220072678,0.1320754716981132,0.11320754716981132,0.09459459459459474,0.0122699386503069,1.0609756097560972
12h,stop_10,be_after_15,53,17,5300.0,3843.6965843297603,0.7252257706282567,0.7547169811320755,0.7647058823529411,56.70103092783507,0.6211709224286965,8.894536213468696,123.05854241338122,831.1926605504588,-90.90909090909105,6.512011508013367,0.1320754716981132,0.03773584905660377,0.09459459459459474,0.0122699386503069,1.0609756097560972
12h,stop_10,be_after_20,53,17,5300.0,3843.6965843297603,0.7252257706282567,0.7547169811320755,0.7647058823529411,56.70103092783507,0.6211709224286965,8.894536213468696,123.05854241338122,831.1926605504588,-90.90909090909105,6.512011508013367,0.1320754716981132,0.03773584905660377,0.09459459459459474,0.0122699386503069,1.0609756097560972
12h,stop_10,be_after_5,53,17,5300.0,2242.057653160639,0.4230297458793658,0.4339622641509434,0.7058823529411765,0.0,0.22900763358778628,0.0,67.92452830188655,831.1926605504588,-90.90909090909105,4.697190950561719,0.11320754716981132,0.39622641509433965,0.07339449541284404,0.010355029585798814,1.0609756097560972
12h,stop_10,no_be,53,17,5300.0,3912.770708684906,0.738258624280171,0.7735849056603774,0.7647058823529411,60.24096385542177,0.6211709224286965,13.207547169811207,123.05854241338122,831.1926605504588,-90.90909090909105,6.5298924367262625,0.1320754716981132,0.0,0.09459459459459474,0.013539042821158809,1.0609756097560972
12h,stop_15,be_after_10,53,17,5300.0,3289.489477947097,0.62065839206549,0.6981132075471698,0.7058823529411765,46.439628482972005,0.42130365659777347,0.0,118.3673469387756,831.1926605504588,-130.43478260869568,4.899458003663062,0.11320754716981132,0.11320754716981132,0.0951742627345844,0.0122699386503069,1.0609756097560972
12h,stop_15,be_after_15,53,17,5300.0,3841.7814219484408,0.7248644192355549,0.7735849056603774,0.7058823529411765,60.24096385542177,0.6211709224286965,13.207547169811207,124.13793103448256,831.1926605504588,-130.43478260869568,5.55416118962331,0.11320754716981132,0.03773584905660377,0.0951742627345844,0.0122699386503069,1.0609756097560972
12h,stop_15,be_after_20,53,17,5300.0,3841.7814219484408,0.7248644192355549,0.7735849056603774,0.7058823529411765,60.24096385542177,0.6211709224286965,13.207547169811207,124.13793103448256,831.1926605504588,-130.43478260869568,5.55416118962331,0.11320754716981132,0.03773584905660377,0.0951742627345844,0.0122699386503069,1.0609756097560972
12h,stop_15,be_after_5,53,17,5300.0,2279.668182478923,0.43012607216583454,0.4528301886792453,0.6470588235294118,0.0,0.22900763358778628,0.0,68.70229007633588,831.1926605504588,-130.43478260869568,4.196657108931871,0.09433962264150944,0.39622641509433965,0.07389162561576357,0.010355029585798814,1.0609756097560972
12h,stop_15,no_be,53,17,5300.0,3910.8555463035855,0.737897272887469,0.7924528301886793,0.7058823529411765,60.60606060606055,0.6211709224286965,13.698630136986356,124.13793103448256,831.1926605504588,-130.43478260869568,5.580462903086834,0.11320754716981132,0.0,0.0951742627345844,0.013539042821158809,1.0609756097560972
12h,stop_20,be_after_10,53,17,5300.0,3840.230934416052,0.7245718744181231,0.7547169811320755,0.8823529411764706,50.75007979572299,0.5825242718446599,3.7735849056603765,119.19831223628674,831.1926605504588,-166.66666666666663,8.530961545526914,0.03773584905660377,0.11320754716981132,0.09915474642392708,0.0122699386503069,1.0609756097560972
12h,stop_20,be_after_15,53,17,5300.0,4392.522878417397,0.8287779015881881,0.8301886792452831,0.8823529411764706,60.60606060606055,0.6211709224286965,19.543973941368087,129.89520132377285,831.1926605504588,-166.66666666666663,9.61404468901784,0.03773584905660377,0.03773584905660377,0.09915474642392708,0.0122699386503069,1.0609756097560972
