hold_window,strategy_id,cluster_date_utc,cluster_pnl_usdt,cluster_roi_on_margin,cumulative_pnl_usdt,drawdown_from_peak_usdt,tokens_count
14d,aggressive_10_be20_tp20_50,2024-01-04,-106.81818181818198,-0.35606060606060663,-106.81818181818198,-106.81818181818198,3
14d,aggressive_10_be20_tp20_50,2024-04-03,1164.2376827291512,5.821188413645756,1057.4195009109692,0.0,2
14d,aggressive_10_be20_tp20_50,2024-07-01,575.9909721568915,1.9199699071896383,1633.4104730678607,0.0,3
14d,aggressive_10_be20_tp20_50,2024-10-03,-181.81818181818198,-0.90909090909091,1451.5922912496787,-181.81818181818198,2
14d,aggressive_10_be20_tp20_50,2025-01-02,934.357149772485,4.671785748862424,2385.9494410221637,0.0,2
14d,aggressive_10_be20_tp20_50,2025-03-04,1208.3372908216447,4.0277909694054825,3594.2867318438084,0.0,3
14d,aggressive_10_be20_tp20_50,2025-04-03,1366.8255474232706,2.7336510948465413,4961.112279267079,0.0,5
14d,aggressive_10_be20_tp20_50,2025-05-07,-379.5454545454549,-0.6325757575757581,4581.5668247216245,-379.54545454545496,6
14d,aggressive_10_be20_tp20_50,2025-06-05,349.2038216560508,3.492038216560508,4930.770646377675,-30.341632889404536,1
14d,aggressive_10_be20_tp20_50,2025-10-09,-90.90909090909093,-0.9090909090909094,4839.861555468584,-121.25072379849553,1
14d,aggressive_10_be20_tp20_50,2025-12-01,-90.90909090909093,-0.9090909090909094,4748.952464559493,-212.15981470758652,1
14d,aggressive_10_be20_tp20_50,2026-01-02,-90.90909090909105,-0.9090909090909105,4658.043373650402,-303.0689056166775,1
14d,aggressive_10_be20_tp20_50,2026-03-06,319.63557870957493,0.39954447338696863,4977.678952359976,0.0,8
14d,aggressive_10_be20_tp20_50,2026-03-13,1149.936115843271,3.8331203861442367,6127.615068203248,0.0,3
14d,aggressive_10_be20_tp20_50,2026-04-14,23.239621650026407,0.05809905412506602,6150.854689853274,0.0,4
14d,aggressive_10_be20_tp20_50,2026-04-30,175.87621606192403,0.5862540535397468,6326.7309059151985,0.0,3
14d,aggressive_10_be20_tp20_50,2026-05-22,944.4682458754933,1.8889364917509865,7271.199151790692,0.0,5
14d,balanced_10_be15_tp10_30,2024-01-04,-24.24242424242442,-0.0808080808080814,-24.24242424242442,-24.24242424242442,3
14d,balanced_10_be15_tp10_30,2024-04-03,531.0797455491988,2.655398727745994,506.8373213067744,0.0,2
14d,balanced_10_be15_tp10_30,2024-07-01,593.2818452100962,1.9776061507003206,1100.1191665168706,0.0,3
14d,balanced_10_be15_tp10_30,2024-10-03,-57.575757575757585,-0.2878787878787879,1042.543408941113,-57.57575757575751,2
14d,balanced_10_be15_tp10_30,2025-01-02,664.1190545343898,3.320595272671949,1706.6624634755028,0.0,2
14d,balanced_10_be15_tp10_30,2025-03-04,1035.7159817807049,3.4523866059356827,2742.3784452562077,0.0,3
14d,balanced_10_be15_tp10_30,2025-04-03,965.4016445287793,1.9308032890575586,3707.780089784987,0.0,5
14d,balanced_10_be15_tp10_30,2025-05-07,-421.21212121212153,-0.7020202020202025,3286.5679685728655,-421.2121212121215,6
14d,balanced_10_be15_tp10_30,2025-06-05,322.2778283287837,3.222778283287837,3608.845796901649,-98.934292883338,1
14d,balanced_10_be15_tp10_30,2025-10-09,-90.90909090909093,-0.9090909090909094,3517.936705992558,-189.843383792429,1
14d,balanced_10_be15_tp10_30,2025-12-01,-90.90909090909093,-0.9090909090909094,3427.027615083467,-280.75247470152,1
14d,balanced_10_be15_tp10_30,2026-01-02,-90.90909090909105,-0.9090909090909105,3336.118524174376,-371.661565610611,1
14d,balanced_10_be15_tp10_30,2026-03-06,714.2395835647959,0.8927994794559949,4050.358107739172,0.0,8
14d,balanced_10_be15_tp10_30,2026-03-13,1010.6869067899732,3.3689563559665774,5061.045014529145,0.0,3
14d,balanced_10_be15_tp10_30,2026-04-14,-24.111052723769525,-0.06027763180942381,5036.9339618053755,-24.111052723769717,4
14d,balanced_10_be15_tp10_30,2026-04-30,179.70644380519533,0.5990214793506511,5216.640405610571,0.0,3
14d,balanced_10_be15_tp10_30,2026-05-22,1028.2569538600599,2.0565139077201198,6244.897359470631,0.0,5
14d,base_10_be20_tp15_30,2024-01-04,-35.347593582887825,-0.11782531194295942,-35.347593582887825,-35.347593582887825,3
14d,base_10_be20_tp15_30,2024-04-03,887.4140961024946,4.437070480512473,852.0665025196067,0.0,2
14d,base_10_be20_tp15_30,2024-07-01,628.0443545434314,2.093481181811438,1480.110857063038,0.0,3
14d,base_10_be20_tp15_30,2024-10-03,-93.58288770053485,-0.4679144385026743,1386.5279693625032,-93.58288770053491,2
14d,base_10_be20_tp15_30,2025-01-02,732.3898474095802,3.6619492370479008,2118.9178167720834,0.0,2
14d,base_10_be20_tp15_30,2025-03-04,1076.6125664663114,3.5887085548877047,3195.5303832383947,0.0,3
14d,base_10_be20_tp15_30,2025-04-03,1090.695159784344,2.181390319568688,4286.225543022739,0.0,5
14d,base_10_be20_tp15_30,2025-05-07,-396.31016042780783,-0.6605169340463464,3889.915382594931,-396.31016042780766,6
14d,base_10_be20_tp15_30,2025-06-05,332.84857892201455,3.3284857892201454,4222.7639615169455,-63.46158150579322,1
