grouping,comparison_group,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,avg_ex_top5,avg_ex_bottom5,profit_factor,median_mae,median_mfe,median_quote_volume_24h,median_return_1h,low_liquidity_rate,abnormal_gap_rate,extreme_wick_gap_rate,clustered_rate,funding_available_rate,oi_available_rate,feasibility_tier,primary_scenario,event_half,liquidity_bucket,funding_available,oi_available,low_liquidity_flag,abnormal_candle_gap,extreme_first_hour_wick_gap,event_clustered_with_another_risk_event
comparison_group,A_full_confirmed_or_inferred_binance_perp,52,0.4807692307692308,-0.1766666666666665,0.0518523352649937,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,0.012839665764309132,0.0761628673853831,1.5652665479621957,0.2685554371002132,0.3882334650278022,3048816.9032150004,-0.02030114912518885,0.3076923076923077,0.09615384615384616,0.038461538461538464,0.07692307692307693,0.9807692307692307,0.1346153846153846,,,,,,,,,,
comparison_group+feasibility_tier,A_full_confirmed_or_inferred_binance_perp,22,0.36363636363636365,-0.1766666666666666,-0.0104025752998913,-0.1766666666666666,0.0999463499033135,-0.1766666666666667,0.4185714285714288,-0.053299975687023306,0.006223833836786237,0.9074703544753602,0.34766547516858193,0.4447310819262038,935919.8617100001,-0.022105612921199752,0.7272727272727273,0.22727272727272727,0.09090909090909091,0.09090909090909091,0.9545454545454546,0.045454545454545456,low,,,,,,,,,
comparison_group+feasibility_tier,A_full_confirmed_or_inferred_binance_perp,30,0.5666666666666667,0.10985294117647071,0.09750593634590937,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,0.06183199276529611,0.12796955890286227,2.273662448640326,0.12834790963563594,0.36966728855721387,4623154.553647,-0.0192012288786482,0.0,0.0,0.0,0.06666666666666667,1.0,0.2,medium,,,,,,,,,
comparison_group+scenario,A_full_confirmed_or_inferred_binance_perp,7,0.5714285714285714,0.0070634920634919,0.10468253968253972,-0.1766666666666666,0.4185714285714287,-0.1766666666666667,0.4185714285714288,,,2.382599580712789,0.2978808476609356,0.5761124121779857,4449495.49713,-0.0318471337579617,0.2857142857142857,0.14285714285714285,0.0,0.0,1.0,0.0,,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,,,,,,,,
comparison_group+scenario,A_full_confirmed_or_inferred_binance_perp,3,1.0,0.2258974358974358,0.18711468633037262,0.16530165912518852,0.22831908831908831,0.1047058823529412,0.2307407407407408,,,,0.0149253731343284,0.2641509433962266,2310343.29046,-0.0077014218009479,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,,IMMEDIATE_DUMP_AFTER_TAG,,,,,,,,
comparison_group+scenario,A_full_confirmed_or_inferred_binance_perp,8,0.5,-0.024525993883792008,0.01250729329284377,-0.1766666666666666,0.1583177933177932,-0.1766666666666666,0.3265384615384616,,,1.1415919995416275,0.20152656172027406,0.18801772472418138,1557191.5605205,-0.01312870714182375,0.5,0.0,0.0,0.0,0.875,0.625,,NO_CLEAR_REACTION,,,,,,,,
comparison_group+scenario,A_full_confirmed_or_inferred_binance_perp,2,0.5,-0.030833333333333206,-0.030833333333333206,-0.10374999999999991,0.0420833333333335,-0.1766666666666666,0.1150000000000002,,,0.6509433962264164,0.30272187524095917,0.22515527950310565,7841197.275214999,-0.02562422875946425,0.0,0.0,0.0,0.0,1.0,0.0,,SLOW_BLEED_AFTER_TAG,,,,,,,,
comparison_group+scenario,A_full_confirmed_or_inferred_binance_perp,4,0.75,0.258909467685533,0.189930924318957,0.030268963433061402,0.4185714285714286,-0.1766666666666666,0.4185714285714286,,,5.3003228147688395,0.2397562094744045,0.43517488076311617,6001343.155647,-0.0118871585353345,0.25,0.0,0.0,0.0,1.0,0.0,,TAG_REMOVED_AND_RECOVERED,,,,,,,,
comparison_group+scenario,A_full_confirmed_or_inferred_binance_perp,1,0.0,-0.1766666666666667,-0.1766666666666667,-0.1766666666666667,-0.1766666666666667,-0.1766666666666667,-0.1766666666666667,,,0.0,0.3333333333333332,0.5285126396237507,7294890.86434,-0.0853658536585366,0.0,0.0,0.0,1.0,1.0,0.0,,TAG_REMOVED_BUT_NOT_RECOVERED,,,,,,,,
comparison_group+scenario,A_full_confirmed_or_inferred_binance_perp,25,0.4,-0.1766666666666666,0.04536336880235461,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,-0.005528639347973696,0.06467032840835646,1.4279563094561758,0.2449999999999998,0.5062499999999999,2622377.5361,-0.0225225225225225,0.32,0.16,0.08,0.12,1.0,0.0,,TAG_TO_DELISTING_TO_COLLAPSE,,,,,,,,
