execution_variant,variant_priority,filter_group,filter_name,entry_feasible_filter,cost_bps,sample_view,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,median_mae,median_mfe,expectancy,profit_factor,average_return_ex_top5,median_return_ex_top5,low_confidence_flag
immediate_1h_confirmation,priority,base,base_all_monitoring,yes,0,full_sample,117,0.5641025641025641,0.0912672357189756,0.09655406124873664,-0.1666666666666666,0.4285714285714286,-0.1666666666666667,0.4285714285714288,0.1881743634009496,0.3772165502418054,0.09655406124873664,2.3430740855149756,0.06552440075128876,0.0269413629160062,no
immediate_1h_confirmation,priority,base,base_all_monitoring,yes,20,full_sample,117,0.5641025641025641,0.0892672357189756,0.09455406124873664,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.1881743634009496,0.3772165502418054,0.09455406124873664,2.2994953089044636,0.06352440075128878,0.024941362916006203,no
immediate_1h_confirmation,priority,base,base_all_monitoring,yes,20,excluding_top5,107,0.5233644859813084,0.024941362916006203,0.06352440075128878,-0.1686666666666666,0.24824050024050037,-0.16866666666666671,0.4265714285714286,0.2260692464358451,0.3544303797468353,0.06352440075128878,1.798422967962321,-0.04716066870607094,-0.1686666666666666,no
immediate_1h_confirmation,priority,base,base_all_monitoring,yes,50,full_sample,117,0.5641025641025641,0.0862672357189756,0.09155406124873663,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.1881743634009496,0.3772165502418054,0.09155406124873663,2.23605058664403,0.06052440075128876,0.0219413629160062,no
immediate_1h_confirmation,priority,base,base_all_monitoring,yes,100,full_sample,117,0.5641025641025641,0.08126723571897561,0.08655406124873663,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.1881743634009496,0.3772165502418054,0.08655406124873663,2.1351453414537978,0.05552440075128876,0.016941362916006203,no
immediate_1h_confirmation,priority,data_quality,clean_only,yes,0,full_sample,55,0.5454545454545454,0.0651117589893099,0.07229997538873624,-0.1666666666666666,0.29813936063936075,-0.1666666666666667,0.4285714285714288,0.1324960753532182,0.3629629629629629,0.07229997538873624,1.9751489467956247,0.036672830070467004,-0.03038685171038115,no
immediate_1h_confirmation,priority,data_quality,clean_only,yes,20,full_sample,55,0.5454545454545454,0.0631117589893099,0.07029997538873627,-0.1686666666666666,0.29613936063936075,-0.16866666666666671,0.4265714285714288,0.1324960753532182,0.3629629629629629,0.07029997538873627,1.9366887460121593,0.034672830070467,-0.03238685171038115,no
immediate_1h_confirmation,priority,data_quality,clean_only,yes,20,excluding_top5,50,0.5,-0.03238685171038115,0.034672830070467,-0.1686666666666666,0.2137097032878908,-0.16866666666666671,0.4265714285714286,0.2141072304786486,0.34055437853107334,0.034672830070467,1.4199878583922616,-0.03997452202495425,-0.16866666666666655,no
immediate_1h_confirmation,priority,data_quality,clean_only,yes,50,full_sample,55,0.5454545454545454,0.060111758989309906,0.06729997538873625,-0.1716666666666666,0.29313936063936075,-0.17166666666666672,0.4235714285714288,0.1324960753532182,0.3629629629629629,0.06729997538873625,1.880714259014738,0.03167283007046699,-0.035386851710381154,no
immediate_1h_confirmation,priority,data_quality,clean_only,yes,100,full_sample,55,0.5454545454545454,0.0551117589893099,0.062299975388736245,-0.1766666666666666,0.28813936063936074,-0.17666666666666672,0.4185714285714288,0.1324960753532182,0.3629629629629629,0.062299975388736245,1.7917346451839193,0.026672830070467,-0.04038685171038115,no
