token_entity_id,token_symbol,anchor_event_id,anchor_event_type,bottom_timestamp_utc,bottom_price,max_rebound_24h,max_rebound_3d,max_rebound_7d,max_rebound_14d,max_rebound_30d,max_rebound_60d,max_rebound_90d,rebound_20_flag,rebound_50_flag,rebound_100_flag,rebound_200_flag,days_from_bottom_to_max_rebound,rebound_high_timestamp_utc,rebound_high_price,volume_on_rebound,quote_volume_on_rebound,volume_zscore_on_rebound,rebound_sustained_3d,rebound_sustained_7d,post_rebound_drawdown,pump_and_dump_after_bottom,dead_cat_bounce_flag,low_liquidity_rebound_flag,fallback_used,price_source,exchange,manual_review_required,notes
0G,0G,b08c2a68b0b046a3,SPOT_PAIR_REMOVED,2026-02-06T00:00:00+00:00,0.444,0.24324324324324342,0.41216216216216206,0.9144144144144144,0.9144144144144144,0.9144144144144144,0.9144144144144144,1.0045045045045047,yes,yes,yes,no,65.66666666666667,2026-04-12T16:00:00+00:00,0.89,9889069.77,6972391.36329,4.6582475438394635,yes,yes,-0.41797752808988764,no,no,no,no,binance_spot,binance,no,
1000CAT,1000CAT,7353c4ecea8627e7,SPOT_PAIR_REMOVED,2025-10-10T21:00:00+00:00,0.00272,1.2205882352941178,1.492647058823529,1.492647058823529,1.492647058823529,1.492647058823529,1.492647058823529,1.492647058823529,yes,yes,yes,no,1.9583333333333333,2025-10-12T20:00:00+00:00,0.00678,30020112.8,200922.756388,0.0475389101433869,yes,yes,-0.6533923303834808,no,no,no,no,binance_spot,binance,no,
1000SATS,1000SATS,51b4ab486a5915e6,SPOT_PAIR_REMOVED,2026-02-06T00:00:00+00:00,9.12e-06,0.3804824561403508,0.3804824561403508,0.3804824561403508,0.42214912280701733,0.42214912280701733,0.6052631578947367,0.6052631578947367,yes,yes,no,no,34.708333333333336,2026-03-12T17:00:00+00:00,1.464e-05,176823499527.0,2435211.7440716,4.559762645935995,yes,yes,-0.32172131147540983,no,no,no,no,binance_spot,binance,no,
1INCH,1INCH,1a2f74c6eb0eee90,SPOT_PAIR_REMOVED,2026-05-23T07:00:00+00:00,0.0878,0.06719817767653757,0.06719817767653757,0.06719817767653757,0.06719817767653757,0.06719817767653757,0.06719817767653757,0.06719817767653757,no,no,no,no,0.5833333333333334,2026-05-23T21:00:00+00:00,0.0937,91222.0,8459.1295,-0.22854306714130304,no,no,-0.050160085378868846,no,no,no,no,binance_spot,binance,no,
1MBABYDOGE,1MBABYDOGE,100dea1a92e98d17,SPOT_PAIR_REMOVED,2026-02-06T00:00:00+00:00,0.0003462,0.27036395147313685,0.27036395147313685,0.27036395147313685,0.29289428076256496,0.29289428076256496,0.3489312536106297,0.3489312536106297,yes,no,no,no,37.5,2026-03-15T12:00:00+00:00,0.000467,2325831699.0,1049771.2573359,4.526837741174236,no,no,-0.21284796573875808,no,no,no,no,binance_spot,binance,no,
2Z,2Z,4b887ae093ae6180,SPOT_PAIR_REMOVED,2026-02-23T01:00:00+00:00,0.0655,0.059236641221374065,0.19267175572519069,0.24824427480916023,0.24824427480916023,0.3291603053435115,0.5199999999999998,0.5199999999999998,yes,yes,no,no,53.125,2026-04-17T04:00:00+00:00,0.09956,5128378.0,500498.75163,3.930724032080637,no,no,-0.17024909602249894,no,no,no,no,binance_spot,binance,no,
A2Z,A2Z,1fc6e5215a5c6f00,MONITORING_TAG_ADDED,2026-04-01T01:00:00+00:00,7.2e-05,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.2222222222222221,yes,no,no,no,0.041666666666666664,2026-04-01T02:00:00+00:00,8.8e-05,1015116377.0,81147.222786,0.9085640266473609,unknown,unknown,nan,no,no,yes,no,binance_spot,binance,yes,
AAVE,AAVE,ae540b1f433c0ffa,SPOT_PAIR_REMOVED,2024-02-05T01:00:00+00:00,81.45,0.05549416820135056,0.05549416820135056,0.10484960098219753,0.17249846531614477,0.47305095150399024,0.887292817679558,0.887292817679558,yes,yes,no,no,37.458333333333336,2024-03-13T12:00:00+00:00,153.72,56633.77,8485772.17914,3.010340281883433,no,no,-0.5446265938069217,yes,yes,no,no,binance_spot,binance,no,
ACA,ACA,dccc644ea3175a5f,MONITORING_TAG_ADDED,2026-02-13T00:00:00+00:00,0.0017,0.23529411764705888,0.23529411764705888,0.23529411764705888,0.23529411764705888,0.23529411764705888,0.23529411764705888,0.23529411764705888,yes,no,no,no,0.041666666666666664,2026-02-13T01:00:00+00:00,0.0021,4408260.44,8457.11729,-0.9578179470089063,unknown,unknown,-0.1428571428571428,no,no,yes,no,binance_spot,binance,yes,
ACE,ACE,1aa297da122de509,SPOT_PAIR_REMOVED,2024-08-05T06:00:00+00:00,1.754,0.27651083238312424,0.36031927023945265,0.40877993158494874,0.42702394526795895,0.5735461801596351,0.6413911060433295,0.6413911060433295,yes,yes,no,no,53.75,2024-09-28T00:00:00+00:00,2.879,287270.5,814699.4473,3.499247406685893,yes,yes,-0.798888502952414,no,no,no,no,binance_spot,binance,no,
