token_entity_id,token_symbol,anchor_event_id,anchor_event_type,bottom_timestamp_utc,bottom_price,max_rebound_24h,max_rebound_3d,max_rebound_7d,max_rebound_14d,max_rebound_30d,max_rebound_60d,max_rebound_90d,rebound_20_flag,rebound_50_flag,rebound_100_flag,rebound_200_flag,days_from_bottom_to_max_rebound,rebound_high_timestamp_utc,rebound_high_price,volume_on_rebound,quote_volume_on_rebound,volume_zscore_on_rebound,rebound_sustained_3d,rebound_sustained_7d,post_rebound_drawdown,pump_and_dump_after_bottom,dead_cat_bounce_flag,low_liquidity_rebound_flag,fallback_used,price_source,exchange,manual_review_required,notes
A2Z,A2Z,1fc6e5215a5c6f00,MONITORING_TAG_ADDED,2026-04-01T01:00:00+00:00,7.2e-05,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.2222222222222221,yes,no,no,no,0.0416666666666666,2026-04-01T02:00:00+00:00,8.8e-05,1015116377.0,81147.222786,0.9085640266473608,unknown,unknown,,no,no,yes,no,binance_spot,binance,yes,
ACA,ACA,dccc644ea3175a5f,MONITORING_TAG_ADDED,2026-02-13T00:00:00+00:00,0.0017,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.2352941176470588,yes,no,no,no,0.0416666666666666,2026-02-13T01:00:00+00:00,0.0021,4408260.44,8457.11729,-0.9578179470089064,unknown,unknown,-0.1428571428571428,no,no,yes,no,binance_spot,binance,yes,
AERGO,AERGO,abca945eb2bee96c,MONITORING_TAG_ADDED,2025-03-11T00:00:00+00:00,0.0579,0.1588946459412781,0.2348877374784108,0.2487046632124352,0.6649395509499136,0.6649395509499136,0.6649395509499136,0.6649395509499136,yes,yes,no,no,7.166666666666667,2025-03-18T04:00:00+00:00,0.0964,50012507.0,4130929.339,4.693713142097547,yes,yes,-0.3672199170124481,no,no,yes,no,binance_spot,binance,yes,
AKRO,AKRO,2ebc47e2d093dcb6,SPOT_TOKEN_DELISTING_ANNOUNCED,2024-12-25T02:00:00+00:00,0.000906,,,,,,,,no,no,no,no,,,,,,,unknown,unknown,,no,no,no,no,binance_spot,binance,yes,
ALCX,ALCX,4a1694681090a940,MONITORING_TAG_ADDED,2026-06-06T05:00:00+00:00,3.28,0.0457317073170733,0.0762195121951219,0.0762195121951219,0.0762195121951219,0.0762195121951219,0.0762195121951219,0.0762195121951219,no,no,no,no,1.7083333333333333,2026-06-07T22:00:00+00:00,3.53,5431.9509,18984.814795,2.875270540023756,unknown,unknown,-0.0254957507082153,no,no,yes,no,binance_spot,binance,yes,
ALPACA,ALPACA,064b0dde744232dc,MONITORING_TAG_ADDED,2025-04-17T02:00:00+00:00,0.0278,0.1043165467625899,0.9640287769784176,1.5575539568345325,44.68345323741008,44.68345323741008,44.68345323741008,44.68345323741008,yes,yes,yes,yes,13.25,2025-04-30T08:00:00+00:00,1.27,53819035.6,60094581.62144,2.482920153982655,yes,yes,-0.8389763779527559,no,no,no,no,binance_spot,binance,no,
ALPHA,ALPHA,cdee2c69a544c7e6,MONITORING_TAG_ADDED,2025-07-04T02:00:00+00:00,0.0092,,,,,,,,no,no,no,no,,,,,,,unknown,unknown,,no,no,no,no,binance_spot,binance,no,
AMB,AMB,78605f349f17de8a,SPOT_TOKEN_DELISTING_ANNOUNCED,2025-02-24T02:00:00+00:00,0.00026,,,,,,,,no,no,no,no,,,,,,,unknown,unknown,,no,no,no,no,binance_spot,binance,yes,
ANT,ANT,e0c4360ac0bda986,MONITORING_TAG_ADDED,2024-01-08T02:00:00+00:00,5.457,0.0978559648158328,0.2162360271211287,0.2625984973428623,0.2827560930914421,0.2827560930914421,0.3906908557815651,0.3906908557815651,yes,no,no,no,42.833333333333336,2024-02-19T22:00:00+00:00,7.589,6025.1,45422.9165,-0.5991231186578393,no,no,-0.0562656476479115,no,no,no,no,binance_spot,binance,no,
ARDR,ARDR,afca87c30daaf7ba,MONITORING_TAG_ADDED,2025-04-07T07:00:00+00:00,0.03699,0.323060286563936,1.2303325223033252,1.2438496891051636,4.073803730738037,4.073803730738037,4.073803730738037,4.073803730738037,yes,yes,yes,yes,9.125,2025-04-16T10:00:00+00:00,0.18768,25674049.0,3975761.89635,1.5767936211676277,yes,yes,-0.7958226768968457,no,no,yes,no,binance_spot,binance,yes,
AST,AST,c9bba63a0a1d11c1,MONITORING_TAG_ADDED,2025-03-16T09:00:00+00:00,0.0086,4.383720930232558,4.569767441860465,4.569767441860465,5.1976744186046515,5.1976744186046515,5.1976744186046515,5.1976744186046515,yes,yes,yes,yes,7.166666666666667,2025-03-23T13:00:00+00:00,0.0533,58939205.0,2400985.5689,4.661366239650997,yes,yes,-0.5159474671669794,no,no,no,no,binance_spot,binance,no,
ATA,ATA,c94c0613623769e6,MONITORING_TAG_ADDED,2026-05-26T08:00:00+00:00,0.002,0.5,0.5,0.5,0.5,0.5,0.5,0.5,yes,yes,no,no,0.0416666666666666,2026-05-26T09:00:00+00:00,0.003,61079390.0,154527.5982,3.342896634224586,unknown,unknown,-0.3,yes,yes,yes,no,binance_spot,binance,yes,
BADGER,BADGER,05efae81cc940ff4,MONITORING_TAG_ADDED,2025-04-16T02:00:00+00:00,0.74,,,,,,,,no,no,no,no,,,,,,,unknown,unknown,,no,no,yes,no,binance_spot,binance,yes,
BAKE,BAKE,5c8137ecc69b6b61,MONITORING_TAG_ADDED,2025-09-09T11:00:00+00:00,0.033,5.621212121212121,5.621212121212121,5.621212121212121,5.621212121212121,5.621212121212121,5.621212121212121,5.621212121212121,yes,yes,yes,yes,0.9583333333333334,2025-09-10T10:00:00+00:00,0.2185,243842820.3,41456931.96701,3.7228135667193953,yes,yes,-0.7913043478260869,no,no,no,no,binance_spot,binance,no,
BAL,BAL,f19444577bbd2958,MONITORING_TAG_ADDED,2024-08-05T06:00:00+00:00,1.522,0.2490144546649146,0.2490144546649146,0.3134034165571617,0.3331143232588698,0.4586070959264128,0.5321944809461234,0.5321944809461234,yes,yes,no,no,57.25,2024-10-01T12:00:00+00:00,2.332,121329.16,279891.4269,1.909727922559305,yes,yes,-0.6792452830188679,no,no,no,no,binance_spot,binance,no,
BETA,BETA,08d7f3a2766ef543,MONITORING_TAG_ADDED,2023-10-09T16:00:00+00:00,0.05584,0.0565902578796559,0.1817693409742118,0.4194126074498567,0.4194126074498567,0.4194126074498567,0.4194126074498567,0.6144340974212033,yes,yes,no,no,78.58333333333333,2023-12-27T06:00:00+00:00,0.09015,8318425.0,734454.85476,2.6845778607224813,no,no,-0.996561286744315,yes,yes,yes,no,binance_spot,binance,yes,
BIFI,BIFI,a0ebf708da0a74fa,MONITORING_TAG_ADDED,2025-06-22T20:00:00+00:00,128.3,0.1169134840218237,0.2081060015588463,0.2081060015588463,0.51987529228371,0.5588464536243178,1.182385035074045,1.182385035074045,yes,yes,yes,no,33.833333333333336,2025-07-26T16:00:00+00:00,280.0,17131.851,4158393.0302,4.690312131418181,no,no,-0.9260714285714284,yes,yes,yes,no,binance_spot,binance,yes,
