token_entity_id,token_symbol,anchor_event_id,anchor_event_type,bottom_timestamp_utc,bottom_price,max_rebound_24h,max_rebound_3d,max_rebound_7d,max_rebound_14d,max_rebound_30d,max_rebound_60d,max_rebound_90d,rebound_20_flag,rebound_50_flag,rebound_100_flag,rebound_200_flag,days_from_bottom_to_max_rebound,rebound_high_timestamp_utc,rebound_high_price,volume_on_rebound,quote_volume_on_rebound,volume_zscore_on_rebound,rebound_sustained_3d,rebound_sustained_7d,post_rebound_drawdown,pump_and_dump_after_bottom,dead_cat_bounce_flag,low_liquidity_rebound_flag,fallback_used,price_source,exchange,manual_review_required,notes
PYTH,PYTH,892c4aa7b773f859,MONITORING_TAG_REMOVED,2025-07-09T04:00:00+00:00,0.0979,0.08580183861082746,0.24004085801838593,0.29622063329928516,0.572012257405516,0.572012257405516,1.5536261491317669,1.5536261491317669,yes,yes,yes,no,50.833333333333336,2025-08-29T00:00:00+00:00,0.25,139847849.4,32452100.75667,1.7063952884832538,yes,yes,-0.856,no,no,yes,no,binance_spot,binance,yes,
QI,QI,31663d580e98be67,MONITORING_TAG_ADDED,2026-03-29T22:00:00+00:00,0.00135,0.022222222222222143,0.03703703703703698,0.051851851851851816,0.15555555555555545,1.0,1.0,1.0,yes,yes,yes,no,21.625,2026-04-20T13:00:00+00:00,0.0027,385508342.0,893483.097,2.6981229910340288,no,no,-0.45185185185185184,yes,yes,yes,no,binance_spot,binance,yes,
QUICK,QUICK,88394d4087b17e7e,MONITORING_TAG_ADDED,2026-05-26T10:00:00+00:00,0.00708,0.09322033898305082,0.09322033898305082,0.09322033898305082,0.09322033898305082,0.09322033898305082,0.09322033898305082,0.09322033898305082,no,no,no,no,0.08333333333333333,2026-05-26T12:00:00+00:00,0.00774,1834642.0,14086.34873,-0.26804512562044824,unknown,unknown,-0.04909560723514217,no,no,yes,no,binance_spot,binance,yes,
RDNT,RDNT,c643d1df6b26e19d,MONITORING_TAG_ADDED,2026-04-01T02:00:00+00:00,0.00321,,,,,,,,no,no,no,no,,,,,,,unknown,unknown,nan,no,no,yes,no,binance_spot,binance,yes,
REEF,REEF,459073a914558055,MONITORING_TAG_ADDED,2024-01-23T09:00:00+00:00,0.001321,0.0764572293716883,0.10143830431491296,0.1347464042392128,0.1370174110522333,0.45950037850113556,3.155942467827404,3.155942467827404,yes,yes,yes,yes,48.916666666666664,2024-03-12T07:00:00+00:00,0.00549,6615839000.0,33039878.56454,3.7302632696691216,no,no,-0.8814207650273224,yes,yes,no,no,binance_spot,binance,no,
REI,REI,95453d2e61ce0ed3,MONITORING_TAG_ADDED,2025-06-22T20:00:00+00:00,0.01331,0.14124718256949653,0.20285499624342584,0.23441021788129213,0.26070623591284736,0.5101427498121711,1.3966942148760326,1.3966942148760326,yes,yes,yes,no,33.666666666666664,2025-07-26T12:00:00+00:00,0.0319,177970209.7,5302431.303039,1.4503834162667009,no,no,-0.9247648902821317,yes,yes,yes,no,binance_spot,binance,yes,
REMOVE,REMOVE,310b380d3d71ed42,MONITORING_TAG_ADDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,missing_bottom_or_path
REN,REN,55c6f3a56b85b5ee,SPOT_TOKEN_DELISTING_ANNOUNCED,2024-11-26T09:00:00+00:00,0.03456,0.33072916666666674,0.4120370370370372,2.343460648148148,2.343460648148148,2.343460648148148,2.343460648148148,2.343460648148148,yes,yes,yes,yes,3.1666666666666665,2024-11-29T13:00:00+00:00,0.11555,381026543.0,29517546.416601,4.111342836599974,yes,yes,-0.6737343141497187,no,no,no,no,binance_spot,binance,no,
RESOLV,RESOLV,b3172c363e7bc7a7,MONITORING_TAG_ADDED,2026-05-26T17:00:00+00:00,0.0219,0.06392694063926951,0.06392694063926951,0.06392694063926951,0.06392694063926951,0.06392694063926951,0.06392694063926951,0.06392694063926951,no,no,no,no,0.125,2026-05-26T20:00:00+00:00,0.0233,1055330.5,24422.72412,-1.015281016520106,unknown,unknown,-0.025751072961373356,no,no,no,no,binance_spot,binance,no,
SLF,SLF,75401db392ee79e3,MONITORING_TAG_ADDED,2025-09-17T02:00:00+00:00,0.0156,,,,,,,,no,no,no,no,,,,,,,unknown,unknown,nan,no,no,no,no,binance_spot,binance,no,
