token_entity_id,token_symbol,anchor_event_id,anchor_event_type,bottom_timestamp_utc,bottom_price,max_rebound_24h,max_rebound_3d,max_rebound_7d,max_rebound_14d,max_rebound_30d,max_rebound_60d,max_rebound_90d,rebound_20_flag,rebound_50_flag,rebound_100_flag,rebound_200_flag,days_from_bottom_to_max_rebound,rebound_high_timestamp_utc,rebound_high_price,volume_on_rebound,quote_volume_on_rebound,volume_zscore_on_rebound,rebound_sustained_3d,rebound_sustained_7d,post_rebound_drawdown,pump_and_dump_after_bottom,dead_cat_bounce_flag,low_liquidity_rebound_flag,fallback_used,price_source,exchange,manual_review_required,notes
EPIC,EPIC,c518920624770484,MONITORING_TAG_ADDED,2026-05-26T17:00:00+00:00,0.212,0.02358490566037741,0.02358490566037741,0.02358490566037741,0.02358490566037741,0.02358490566037741,0.02358490566037741,0.02358490566037741,no,no,no,no,0.041666666666666664,2026-05-26T18:00:00+00:00,0.217,19026.5,4101.7147,-0.9771064086024239,unknown,unknown,nan,no,no,yes,no,binance_spot,binance,yes,
HEI,HEI,ee200e0e804f9834,MONITORING_TAG_ADDED,2026-05-26T15:00:00+00:00,0.057,0.028070175438596356,0.028070175438596356,0.028070175438596356,0.028070175438596356,0.028070175438596356,0.028070175438596356,0.028070175438596356,no,no,no,no,0.08333333333333333,2026-05-26T17:00:00+00:00,0.0586,631615.5,36685.9562,0.1395532826788946,unknown,unknown,-0.025597269624573427,no,no,yes,no,binance_spot,binance,yes,
ALCX,ALCX,4a1694681090a940,MONITORING_TAG_ADDED,2026-05-26T15:00:00+00:00,4.1,,,,,,,,no,no,no,no,,,,,,,unknown,unknown,nan,no,no,yes,no,binance_spot,binance,yes,
COOKIE,COOKIE,a5602175aafd748b,MONITORING_TAG_ADDED,2026-05-26T17:00:00+00:00,0.0126,,,,,,,,no,no,no,no,,,,,,,unknown,unknown,nan,no,no,yes,no,binance_spot,binance,yes,
TLM,TLM,53093ab4bf09fee7,MONITORING_TAG_ADDED,2026-05-26T17:00:00+00:00,0.001355,0.01623616236162362,0.01623616236162362,0.01623616236162362,0.01623616236162362,0.01623616236162362,0.01623616236162362,0.01623616236162362,no,no,no,no,0.16666666666666666,2026-05-26T21:00:00+00:00,0.001377,2701695.0,3700.266729,-1.2323665780289081,unknown,unknown,-0.008714596949891074,no,no,yes,no,binance_spot,binance,yes,
AERGO,AERGO,abca945eb2bee96c,MONITORING_TAG_ADDED,2025-03-11T00:00:00+00:00,0.0579,0.1588946459412781,0.23488773747841085,0.24870466321243523,0.6649395509499136,0.6649395509499136,0.6649395509499136,0.6649395509499136,yes,yes,no,no,7.166666666666667,2025-03-18T04:00:00+00:00,0.0964,50012507.0,4130929.339,4.693713142097547,yes,yes,-0.36721991701244816,no,no,yes,no,binance_spot,binance,yes,
BADGER,BADGER,05efae81cc940ff4,MONITORING_TAG_ADDED,2025-04-16T02:00:00+00:00,0.74,,,,,,,,no,no,no,no,,,,,,,unknown,unknown,nan,no,no,yes,no,binance_spot,binance,yes,
COS,COS,a69cfb015113f6cc,MONITORING_TAG_ADDED,2026-03-07T20:00:00+00:00,0.000827,0.807738814993954,0.807738814993954,2.2442563482466746,2.2442563482466746,2.2442563482466746,2.2442563482466746,2.2442563482466746,yes,yes,yes,yes,6.708333333333333,2026-03-14T13:00:00+00:00,0.002683,2558330019.5,6095977.9167721,3.1445976815297674,yes,yes,-0.5959746552366754,no,no,yes,no,binance_spot,binance,yes,
HIGH,HIGH,8fa523c997c7d4f5,MONITORING_TAG_ADDED,2026-04-16T15:00:00+00:00,0.107,0.11214953271028039,4.5046728971962615,4.5046728971962615,4.5046728971962615,4.5046728971962615,4.5046728971962615,4.5046728971962615,yes,yes,yes,yes,1.6666666666666667,2026-04-18T07:00:00+00:00,0.589,38739543.412,18079411.845935,4.046160149755425,yes,yes,-0.7843803056027164,no,no,no,no,binance_spot,binance,no,
MBOX,MBOX,89466c1eb51993df,MONITORING_TAG_ADDED,2026-05-17T23:00:00+00:00,0.0102,0.1078431372549018,0.392156862745098,0.392156862745098,0.392156862745098,0.392156862745098,0.392156862745098,0.392156862745098,yes,no,no,no,1.2916666666666667,2026-05-19T06:00:00+00:00,0.0142,74198033.8,1011755.32776,2.4026138718576178,no,no,-0.24647887323943674,no,no,no,no,binance_spot,binance,no,
CVX,CVX,f516a957212c330b,MONITORING_TAG_ADDED,2024-09-06T21:00:00+00:00,1.8,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.36111111111111116,0.36111111111111116,3.528888888888888,yes,yes,yes,yes,88.91666666666667,2024-12-04T19:00:00+00:00,8.152,673157.786,5282022.220852,1.668500037865776,no,no,-0.8147693817468106,yes,yes,no,no,binance_spot,binance,no,
ZEC,ZEC,0530e835539c12c2,MONITORING_TAG_ADDED,2024-01-09T12:00:00+00:00,18.5,0.12162162162162171,0.362162162162162,0.3783783783783783,0.3783783783783783,0.3783783783783783,0.9254054054054053,0.9270270270270269,yes,yes,no,no,63.583333333333336,2024-03-13T02:00:00+00:00,35.65,18706.316,661982.76849,0.5323077421530659,yes,yes,-0.5573632538569425,no,no,no,no,binance_spot,binance,no,
AKRO,AKRO,2ebc47e2d093dcb6,SPOT_TOKEN_DELISTING_ANNOUNCED,2024-12-25T02:00:00+00:00,0.000906,,,,,,,,no,no,no,no,,,,,,,unknown,unknown,nan,no,no,no,no,binance_spot,binance,yes,
0G,0G,b08c2a68b0b046a3,SPOT_PAIR_REMOVED,2026-02-06T00:00:00+00:00,0.444,0.24324324324324342,0.41216216216216206,0.9144144144144144,0.9144144144144144,0.9144144144144144,0.9144144144144144,1.0045045045045047,yes,yes,yes,no,65.66666666666667,2026-04-12T16:00:00+00:00,0.89,9889069.77,6972391.36329,4.6582475438394635,yes,yes,-0.41797752808988764,no,no,no,no,binance_spot,binance,no,
