token_symbol,anchor_event_id,anchor_event_type,baseline_price,recovery_90_touch,recovery_100_touch,recovery_90_sustained,recovery_100_sustained,never_recovered,missing_price_flag,fallback_used
1000CHEEMS,9b7bd3558b791b76,SEED_TAG_ADDED,0.000744,yes,yes,yes,yes,no,no,no
1000SATS,a8f1073b97c72c99,SEED_TAG_ADDED,0.0005518,yes,yes,yes,yes,no,no,no
1000WHY,44395bed70e6b38d,FUTURES_CONTRACT_DELISTING_ANNOUNCED,9.91653176944894e-06,yes,yes,no,no,no,no,no
1000X,8a75f9eb3a0e4920,FUTURES_CONTRACT_DELISTING_ANNOUNCED,0.0321033112466507,yes,yes,no,no,no,no,no
1MBABYDOGE,51f8479890f4f59e,SEED_TAG_ADDED,0.0018695,yes,yes,yes,yes,no,no,no
42,2d5454a0a438f476,FUTURES_CONTRACT_DELISTING_ANNOUNCED,0.0251655346721064,yes,yes,yes,yes,no,no,no
A2Z,1fc6e5215a5c6f00,MONITORING_TAG_ADDED,0.0008590887477007,yes,yes,yes,no,no,no,yes
ACA,dccc644ea3175a5f,MONITORING_TAG_ADDED,0.0096730283637749,yes,yes,yes,no,no,no,yes
ACT,b21fc9440b923c0f,SEED_TAG_ADDED,0.4467,yes,yes,yes,yes,no,no,no
ACX,38c04165abb74100,SEED_TAG_ADDED,1.0838,yes,yes,no,no,no,no,no
ADA,62d02880ea5d7aa7,FUTURES_CONTRACT_DELISTING_ANNOUNCED,0.2946102302296178,yes,yes,yes,no,no,no,no
AERGO,abca945eb2bee96c,MONITORING_TAG_ADDED,0.0799861641753571,yes,yes,yes,no,no,no,yes
AI,5081585ae5cc7384,SPOT_PAIR_REMOVED,0.6656078573817321,yes,no,yes,no,no,no,no
AIA,214469775942af84,,,,,,,unknown,yes,
AIGENSYN,985f155bf6212672,SEED_TAG_ADDED,0.03993,yes,yes,no,no,no,no,no
AIXBT,1ae1cb6585b456f5,SEED_TAG_ADDED,0.5059,yes,yes,yes,yes,no,no,no
AKRO,2ebc47e2d093dcb6,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0033033665305105,no,no,no,no,yes,no,no
ALCX,4a1694681090a940,MONITORING_TAG_ADDED,4.582802978142288,yes,no,yes,no,no,no,no
ALPACA,064b0dde744232dc,MONITORING_TAG_ADDED,0.0963810951121735,yes,yes,yes,yes,no,no,no
ALPHA,cdee2c69a544c7e6,MONITORING_TAG_ADDED,0.0341211316530734,yes,yes,yes,no,no,no,no
AMB,78605f349f17de8a,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0034158658913054,no,no,no,no,yes,no,no
ANT,e0c4360ac0bda986,MONITORING_TAG_ADDED,5.784091158702195,yes,yes,yes,yes,no,no,no
APT,85a23d2b7c759ced,FUTURES_CONTRACT_DELISTING_ANNOUNCED,7.250748447991432,yes,no,yes,no,no,no,no
ARDR,afca87c30daaf7ba,MONITORING_TAG_ADDED,0.0522660886411965,yes,yes,yes,yes,no,no,no
AST,c9bba63a0a1d11c1,MONITORING_TAG_ADDED,0.0593868857499667,yes,yes,no,no,no,no,yes
ASTER,bf371e4022e600c3,SEED_TAG_ADDED,2.063,yes,yes,no,no,no,no,no
ATA,c94c0613623769e6,MONITORING_TAG_ADDED,0.0117027027273011,yes,yes,yes,no,no,no,yes
AUDIO,b84cf23756774b2e,FUTURES_CONTRACT_DELISTING_ANNOUNCED,0.1705151318738773,yes,yes,yes,no,no,no,no
AVNT,400bdebef0cf9247,SEED_TAG_ADDED,1.2448,yes,yes,yes,yes,no,no,no
AXL,989889acd0b31a72,SEED_TAG_ADDED,1.9738,yes,yes,yes,yes,no,no,no
B3,db987c7ce0d4bd19,FUTURES_CONTRACT_DELISTING_ANNOUNCED,0.0003244376143511,yes,no,no,no,no,no,no
BADGER,05efae81cc940ff4,MONITORING_TAG_ADDED,3.322001364528214,yes,no,yes,no,no,no,yes
BAKE,5c8137ecc69b6b61,MONITORING_TAG_ADDED,0.0898815801518636,yes,yes,yes,yes,no,no,no
