token_entity_id,token_symbol,final_outcome,primary_scenario,secondary_flags,anchor_event_id,anchor_event_type,return_1h,return_24h,return_7d,return_30d,return_90d,alt_adj_return_24h,alt_adj_return_30d,alt_adj_return_90d,recovery_90_sustained,recovery_100_sustained,never_recovered,pump20_flag,pump_and_dump_flag,fallback_used,manual_review_required
0G,0G,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,b08c2a68b0b046a3,SPOT_PAIR_REMOVED,0.0025575447570331,0.0140664961636829,0.1675191815856778,-0.1930946291560102,-0.2826086956521738,0.0232233579776978,0.0653180911386176,-0.0178985475051397,,,,no,no,no,no
1000CAT,1000CAT,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,7353c4ecea8627e7,SPOT_PAIR_REMOVED,-0.0088945362134689,-0.0101651842439643,0.0495552731893265,-0.2757306226175349,-0.5552731893265566,-0.0344127075501505,-0.3173889676535238,-0.2105777027477985,,,,no,no,no,no
1000CHEEMS,1000CHEEMS,seed_tag_only,SEED_TAG_ONLY,,9b7bd3558b791b76,SEED_TAG_ADDED,,,,,,,,,yes,yes,no,no,no,no,no
1000SATS,1000SATS,seed_tag_only,SEED_TAG_ONLY,,a8f1073b97c72c99,SEED_TAG_ADDED,,,,,,,,,yes,yes,no,no,no,no,no
1000WHY,1000WHY,futures_only_delisting,FUTURES_ONLY_DELISTING,,44395bed70e6b38d,FUTURES_CONTRACT_DELISTING_ANNOUNCED,-0.0404040404040403,-0.1616161616161616,-0.6565656565656566,-0.6565656565656566,,-0.1308045503114481,-0.5788119618392754,,no,no,no,no,no,no,no
1000X,1000X,futures_only_delisting,FUTURES_ONLY_DELISTING,,8a75f9eb3a0e4920,FUTURES_CONTRACT_DELISTING_ANNOUNCED,-0.006892418339826,-0.069523524123464,-0.2343422235540904,-0.2343422235540904,-0.2343422235540904,-0.0369640843167935,-0.0462391952529453,0.1999313701639821,no,no,no,no,no,no,no
1INCH,1INCH,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,1a2f74c6eb0eee90,SPOT_PAIR_REMOVED,0.0010615711252652,0.0286624203821654,0.0042462845010615,-0.0127388535031848,,0.0105474638713692,-0.0355263671302425,,,,,no,no,no,no
1MBABYDOGE,1MBABYDOGE,seed_tag_only,SEED_TAG_ONLY,,51f8479890f4f59e,SEED_TAG_ADDED,,,,,,,,,yes,yes,no,no,no,no,no
2Z,2Z,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,4b887ae093ae6180,SPOT_PAIR_REMOVED,-0.0160341151385926,0.0011940298507462,0.0747974413646055,-0.1715138592750532,-0.2869083155650319,0.0047173812154247,0.1302837990515051,0.0147999170688966,,,,no,no,no,no
42,42,futures_only_delisting,FUTURES_ONLY_DELISTING,,2d5454a0a438f476,FUTURES_CONTRACT_DELISTING_ANNOUNCED,-0.019047619047619,-0.1309523809523809,0.1825396825396825,0.1825396825396825,0.1825396825396825,-0.102762301331033,0.4097806769964854,0.4211991702046039,yes,yes,no,no,no,no,no
A2Z,A2Z,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED;FALLBACK_PROVIDER_UNAVAILABLE,1fc6e5215a5c6f00,MONITORING_TAG_ADDED,-0.003717472118959,-0.0408921933085502,-0.3804213135068153,-0.8995910780669145,,-0.0102662314672348,-0.8276777499266921,,yes,no,no,no,no,yes,no
AAVE,AAVE,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,ae540b1f433c0ffa,SPOT_PAIR_REMOVED,0.0063142123287671,0.0434503424657535,0.0210830479452055,0.1579623287671232,-0.0413099315068493,-0.0316290280485045,-0.1281336038533067,-0.4378657495948996,,,,no,no,no,no
