token_entity_id,token_symbol,anchor_event_id,signal_timestamp_utc,signal_type,signal_price,recent_low_price,stop_price,risk_pct,quote_volume_at_signal,volume_zscore_at_signal,bottom_liquidity_score,signal_liquidity_score,signal_confirmation_score,risk_management_score,execution_quality_score,data_quality_score,liquidity_score,confirmation_score,structure_score,risk_reward_score,source_quality_score,manual_review_penalty,signal_quality_score,final_tradeability_score,tradeability_tier,manual_review_required,notes
0G,0G,b08c2a68b0b046a3,2026-02-12T02:00:00+00:00,HIGHER_LOW_BREAKOUT,0.637,0.506,0.49588,-0.22153846153846157,1401073.03012,2.4973068658120496,1.0,1.0,0.8,0.65,0.85,1.0,1.0,0.8,0.8,0.503,1.0,0.0,0.794,0.794,B,no,causal_signal_after_confirmation;no_future_low_used
1000CAT,1000CAT,7353c4ecea8627e7,2025-10-10T22:00:00+00:00,CAPITULATION_RECLAIM,0.00588,0.00272,0.0026656,-0.5466666666666666,739171.797363,1.4727578698475337,1.0,1.0,0.5,0.35,0.85,1.0,1.0,0.5,0.45,0.093,1.0,0.0,0.612,0.612,C,no,causal_signal_after_confirmation;no_future_low_used
1000CAT,1000CAT,7353c4ecea8627e7,2025-09-18T08:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.00854,0.0074,0.007252,-0.15081967213114766,1280575.349195,4.265684882893212,1.0,1.0,0.8,0.9,0.35,1.0,1.0,0.8,0.8,0.148,1.0,0.0,0.7,0.7,C,no,causal_signal_after_confirmation;no_future_low_used
1000SATS,1000SATS,51b4ab486a5915e6,2026-02-14T18:00:00+00:00,HIGHER_LOW_BREAKOUT,1.262e-05,1.08e-05,1.0583999999999999e-05,-0.1613312202852616,17296.64670398,-0.015822896851165617,1.0,0.058,0.7,0.9,0.35,1.0,0.058,0.7,0.8,0.057,1.0,0.6,0.0,0.0,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
1MBABYDOGE,1MBABYDOGE,100dea1a92e98d17,2026-02-06T01:00:00+00:00,CAPITULATION_RECLAIM,0.0003928,0.0003462,0.000339276,-0.1362627291242362,197690.8461326,0.14354981473906978,1.0,0.659,0.5,0.9,0.85,1.0,0.659,0.5,0.8,0.293,1.0,0.0,0.661,0.661,C,no,causal_signal_after_confirmation;no_future_low_used
1MBABYDOGE,1MBABYDOGE,100dea1a92e98d17,2026-01-27T16:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0005815,0.0005441,0.000533218,-0.08303009458297506,64849.6825222,1.9587503804455537,1.0,0.216,0.8,0.9,0.35,1.0,0.216,0.8,0.8,0.264,1.0,0.6,0.0,0.0,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
2Z,2Z,4b887ae093ae6180,2026-03-01T01:00:00+00:00,HIGHER_LOW_BREAKOUT,0.07835,0.07017,0.0687666,-0.12231525207402683,33242.18136,0.2575892658152422,1.0,0.111,0.5,0.9,0.85,1.0,0.111,0.5,0.8,0.044,1.0,0.6,0.0,0.0,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
A2Z,A2Z,1fc6e5215a5c6f00,2026-03-21T07:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.000523,0.000464,0.00045472,-0.13055449330783941,96272.790833,2.4804972023295084,0.495,0.321,1.0,0.9,0.35,1.0,0.321,1.0,0.8,1.0,1.0,0.6,0.144,0.144,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
ACA,ACA,dccc644ea3175a5f,2026-01-14T16:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0079,0.0071,0.006958000000000001,-0.11924050632911398,31042.07937,2.6694762863154446,0.361,0.103,0.8,0.9,0.35,1.0,0.103,0.8,0.8,0.177,1.0,0.6,0.0,0.0,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
ACE,ACE,1aa297da122de509,2024-08-12T23:00:00+00:00,HIGHER_LOW_BREAKOUT,2.414,2.059,2.01782,-0.1641176470588236,537293.1467,1.6082200862371472,1.0,1.0,0.6,0.9,0.85,1.0,1.0,0.6,0.8,0.075,1.0,0.0,0.716,0.716,C,no,causal_signal_after_confirmation;no_future_low_used
