token_entity_id,token_symbol,anchor_event_id,signal_timestamp_utc,signal_type,signal_price,recent_low_price,stop_price,risk_pct,quote_volume_at_signal,volume_zscore_at_signal,bottom_liquidity_score,signal_liquidity_score,signal_confirmation_score,risk_management_score,execution_quality_score,data_quality_score,liquidity_score,confirmation_score,structure_score,risk_reward_score,source_quality_score,manual_review_penalty,signal_quality_score,final_tradeability_score,tradeability_tier,manual_review_required,notes
A2Z,A2Z,1fc6e5215a5c6f00,2026-03-21T07:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.000523,0.000464,0.00045472,-0.13055449330783941,96272.790833,2.4804972023295084,0.495,0.321,1.0,0.9,0.35,1.0,0.321,1.0,0.8,1.0,1.0,0.6,0.144,0.144,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
ACA,ACA,dccc644ea3175a5f,2026-01-14T16:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0079,0.0071,0.006958000000000001,-0.11924050632911398,31042.07937,2.6694762863154446,0.361,0.103,0.8,0.9,0.35,1.0,0.103,0.8,0.8,0.177,1.0,0.6,0.0,0.0,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
ALPACA,ALPACA,064b0dde744232dc,2025-04-17T06:00:00+00:00,CAPITULATION_RECLAIM,0.0306,0.0278,0.027243999999999997,-0.10967320261437918,63436.33312,-0.16115984966575772,1.0,0.211,0.5,0.9,0.85,1.0,0.211,0.5,0.8,1.0,1.0,0.6,0.09,0.09,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
ALPACA,ALPACA,064b0dde744232dc,2025-03-11T14:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0745,0.0551,0.053998000000000004,-0.2751946308724831,596548.28906,1.6988995039697243,1.0,1.0,0.8,0.65,0.85,1.0,1.0,0.8,0.45,0.216,1.0,0.0,0.742,0.742,C,no,causal_signal_after_confirmation;no_future_low_used
ARDR,ARDR,afca87c30daaf7ba,2025-04-15T09:00:00+00:00,HIGHER_LOW_BREAKOUT,0.08404,0.05402,0.052939599999999996,-0.370066634935745,1923968.12492,4.110852104355334,0.23,1.0,1.0,0.35,0.85,1.0,1.0,1.0,0.45,1.0,1.0,0.08,0.795,0.795,B,no,"low liquidity at bottom, but signal liquidity improved"
AST,AST,c9bba63a0a1d11c1,2025-03-16T10:00:00+00:00,CAPITULATION_RECLAIM,0.0444,0.0086,0.008428,-0.8101801801801802,41606.3069,0.6377143886691923,1.0,0.139,0.3,0.35,0.85,1.0,0.139,0.3,0.45,0.032,1.0,0.6,0.0,0.0,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
AST,AST,c9bba63a0a1d11c1,2025-03-13T08:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0444,0.04,0.0392,-0.11711711711711714,93611.4183,3.974091664838514,1.0,0.312,0.8,0.9,0.35,1.0,0.312,0.8,0.8,0.224,1.0,0.6,0.0,0.0,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
ATA,ATA,c94c0613623769e6,2026-03-21T20:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0106,0.0104,0.010192,-0.03849056603773593,3695.91,2.504649595968738,0.861,0.012,0.8,0.9,0.35,1.0,0.012,0.8,0.8,0.0,1.0,0.6,0.0,0.0,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
BAKE,BAKE,5c8137ecc69b6b61,2025-09-09T19:00:00+00:00,CAPITULATION_RECLAIM,0.041,0.033,0.03234,-0.21121951219512192,2047757.6733,4.492414537534067,1.0,1.0,0.8,0.9,0.85,1.0,1.0,0.8,0.8,1.0,1.0,0.0,0.923,0.923,A,no,causal_signal_after_confirmation;no_future_low_used
BAKE,BAKE,5c8137ecc69b6b61,2025-07-16T16:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0915,0.0835,0.08183,-0.10568306010928963,287872.34131,2.5326373225426897,1.0,0.96,1.0,0.9,0.85,1.0,0.96,1.0,0.8,0.772,1.0,0.0,0.913,0.913,B,no,causal_signal_after_confirmation;no_future_low_used
