token_entity_id,token_symbol,token_name,first_monitoring_tag_datetime_utc,first_seed_tag_datetime_utc,vote_to_delist_datetime_utc,vote_to_delist_result,monitoring_tag_removed_datetime_utc,seed_tag_removed_datetime_utc,delisting_announcement_datetime_utc,effective_delisting_datetime_utc,was_delisted_after_tag,was_delisted_without_known_prior_tag,days_from_monitoring_tag_to_delisting,days_from_monitoring_tag_to_tag_removal,final_outcome,primary_scenario_stub,event_count,has_pair_removal_control_event,manual_review_required,entity_notes
0G,0G,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
1000CAT,1000CAT,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
1000CHEEMS,1000CHEEMS,Binance Will List Cheems,,2025-02-09T07:10:31Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,1,no,no,
1000SATS,1000SATS,Binance Will List BRC-20 Sats,,2023-12-12T06:09:30Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
1000WHY,1000WHY,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,coin_m_futures_review
1000X,1000X,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,
1INCH,1INCH,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
1MBABYDOGE,1MBABYDOGE,"irst Neiro on Ethereum (NEIRO), Turbo (TURBO), and Baby Doge Coin",,2024-09-16T05:45:02Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
2Z,2Z,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
42,42,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,
A2Z,A2Z,,2026-03-13T09:00:23Z,,,,,,2026-03-18T09:00:08Z,2026-04-01T03:00:00Z,yes,no,4,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,2,no,no,
AAVE,AAVE,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
ACA,ACA,,2026-01-02T10:59:57Z,,,,,,2026-02-02T08:59:52Z,2026-02-13T03:00:00Z,yes,no,30,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,3,yes,no,
ACE,ACE,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
ACH,ACH,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
ACM,ACM,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
ACT,ACT,The AI Prophecy,,2024-11-11T05:39:29Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,4,yes,no,pair_removal_observed_but_not_token_delisting
ACX,ACX,Binance Will List Across Protocol,,2024-12-06T08:34:18Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
ADA,ADA,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,2,yes,no,pair_removal_observed_but_not_token_delisting
ADX,ADX,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
AERGO,AERGO,,2025-03-04T08:01:22Z,,2025-03-21T05:50:20Z,,,,2025-03-21T05:50:20Z,2025-03-28T03:00:00Z,yes,no,16,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,4,yes,no,
AEVO,AEVO,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
AGLD,AGLD,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
AI,AI,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,5,yes,no,pair_removal_observed_but_not_token_delisting
AIA,AIA,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,
AIGENSYN,AIGENSYN,Binance Will List Gensyn,,2026-05-14T10:00:03Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,1,no,no,
AIXBT,AIXBT,Binance Will List aixbt by Virtuals,,2025-01-10T08:55:27Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,1,no,no,
AKRO,AKRO,,,,,,,,2024-12-18T08:01:12Z,2024-12-25T03:00:00Z,no,yes,,,delisted_without_known_tag,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,2,yes,no,
ALCX,ALCX,,2026-05-22T08:00:04Z,,,,,,,,no,no,,,still_tagged,PENDING_PRICE_ANALYSIS,2,yes,no,pair_removal_observed_but_not_token_delisting
ALGO,ALGO,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
ALICE,ALICE,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
ALLO,ALLO,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
ALPACA,ALPACA,,2025-03-04T08:01:22Z,,,,,,2025-04-24T04:00:05Z,2025-05-02T03:00:00Z,yes,no,50,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,3,yes,no,
ALPHA,ALPHA,,2025-05-07T08:00:33Z,,,,,,2025-06-26T07:00:09Z,2025-07-04T03:00:00Z,yes,no,49,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,4,yes,no,
ALPINE,ALPINE,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
ALT,ALT,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
AMB,AMB,,,,,,,,2025-02-17T07:00:24Z,2025-02-24T03:00:00Z,no,yes,,,delisted_without_known_tag,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,2,yes,no,
AMP,AMP,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
ANIME,ANIME,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
ANKR,ANKR,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
ANT,ANT,,2024-01-04T07:00:09Z,,,,,,2024-02-06T07:00:12Z,2024-02-20T03:00:00Z,yes,no,33,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,4,yes,no,
APE,APE,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,5,yes,no,pair_removal_observed_but_not_token_delisting
API3,API3,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
APT,APT,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,3,yes,no,pair_removal_observed_but_not_token_delisting
AR,AR,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
ARB,ARB,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
ARDR,ARDR,,2025-04-03T07:00:36Z,,,,,,,,no,no,,,still_tagged,PENDING_PRICE_ANALYSIS,2,yes,no,pair_removal_observed_but_not_token_delisting
ARKM,ARKM,,,,,,,2025-01-02T09:00:19Z,,,no,no,,,unknown,UNKNOWN,5,yes,no,pair_removal_observed_but_not_token_delisting
ARPA,ARPA,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,4,yes,no,pair_removal_observed_but_not_token_delisting
AST,AST,,2025-03-04T08:01:22Z,,2025-03-21T05:50:20Z,,,,2025-03-21T05:50:20Z,2025-03-28T03:00:00Z,yes,no,16,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,4,yes,no,
ASTER,ASTER,Binance Will List Aster,,2025-10-06T07:48:49Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,1,no,no,
ASTR,ASTR,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
AT,AT,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
ATA,ATA,,2026-03-13T09:00:23Z,,,,,,2026-05-13T08:00:04Z,2026-05-27T03:00:00Z,yes,no,60,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,3,yes,no,
ATOM,ATOM,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
AUCTION,AUCTION,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
AUDIO,AUDIO,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,2,yes,no,pair_removal_observed_but_not_token_delisting
AVA,AVA,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
AVAX,AVAX,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
AVNT,AVNT,Binance Will List Avantis,,2025-09-15T03:47:01Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,1,no,no,
AWE,AWE,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
AXL,AXL,Binance Will List Axelar,,2024-03-01T07:18:57Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
AXS,AXS,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,4,yes,no,pair_removal_observed_but_not_token_delisting
B3,B3,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,
BABY,BABY,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
BADGER,BADGER,,2025-03-04T08:01:22Z,,,published,,,2025-04-08T06:00:07Z,2025-04-16T03:00:00Z,yes,no,34,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,4,yes,no,
BAKE,BAKE,,2025-07-07T03:29:57Z,,,,,,2025-09-03T02:59:54Z,2025-09-17T03:00:00Z,yes,no,57,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,5,yes,no,
BAL,BAL,,2024-07-01T07:00:03Z,,,published,,,2025-04-08T06:00:07Z,2025-04-16T03:00:00Z,yes,no,280,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,4,yes,no,
BANANA,BANANA,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
BAND,BAND,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
BANK,BANK,Binance Will List Lorenzo Protocol,,2025-11-13T10:00:26Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,1,no,no,
BARD,BARD,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
BASE,BASE,AIXBT Smart Contract Address,,2025-01-10T08:55:27Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,1,no,no,
BAT,BAT,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
BB,BB,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
BCH,BCH,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
BDXN,BDXN,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,coin_m_futures_review
BEL,BEL,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
BERA,BERA,,,,,,,2025-10-09T02:29:52Z,,,no,no,,,unknown,UNKNOWN,4,yes,no,pair_removal_observed_but_not_token_delisting
BETA,BETA,,2023-10-04T06:00:16Z,,,published,,,2025-04-08T06:00:07Z,2025-04-16T03:00:00Z,yes,no,551,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,6,yes,no,
BICO,BICO,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
BID,BID,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,
BIFI,BIFI,,2025-06-05T05:00:18Z,,,,,,2026-04-09T06:00:05Z,2026-04-23T03:00:00Z,yes,no,308,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,2,no,no,
BIO,BIO,,,,,,,2025-10-09T02:29:52Z,,,no,no,,,unknown,UNKNOWN,3,yes,no,pair_removal_observed_but_not_token_delisting
BLUEBIRD,BLUEBIRD,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,
BLUR,BLUR,Binance Will List Blur,,2023-11-24T06:09:47Z,,,,2025-01-02T09:00:19Z,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,4,yes,no,pair_removal_observed_but_not_token_delisting
BLZ,BLZ,,2024-10-03T07:00:05Z,,,,,,2024-12-18T08:01:12Z,2024-12-25T03:00:00Z,yes,no,76,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,3,yes,no,
BMT,BMT,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
BNB,BNB,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,3,yes,no,pair_removal_observed_but_not_token_delisting
BNT,BNT,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
BNX,BNX,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
BOB,BOB,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,
BOME,BOME,Binance Will List BOOK OF MEME,,2024-03-16T09:30:06Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,4,yes,no,pair_removal_observed_but_not_token_delisting
