token_entity_id,token_symbol,anchor_event_id,signal_timestamp_utc,signal_type,signal_price,recent_low_timestamp_utc,recent_low_price,stop_price,risk_pct,quote_volume_at_bottom,quote_volume_at_signal,volume_zscore_at_signal,candle_range_at_signal,wick_ratio_at_signal,close_position_in_signal_candle,next_3_candles_confirmation,stop_distance_pct,max_adverse_excursion_after_signal,max_adverse_excursion_before_mfe,max_favorable_excursion_24h,max_favorable_excursion_3d,max_favorable_excursion_7d,max_favorable_excursion_14d,risk_reward_24h,risk_reward_3d,risk_reward_7d,time_to_mfe_hours,time_to_20_target_hours,time_to_50_target_hours,time_to_100_target_hours,signal_volume_zscore,signal_quote_volume,confirmation_type,signal_success_20,signal_success_50,signal_success_100,signal_failed_stop,signal_liquidity_flag,bottom_liquidity_flag,low_liquidity_at_bottom,low_liquidity_at_signal,suspicious_signal_wick,false_breakout_flag,signal_quality_score,tradeability_tier,execution_quality_notes,signal_failure_reason,no_signal_reason,manual_review_required,notes
0G,0G,b08c2a68b0b046a3,2026-02-12T02:00:00+00:00,HIGHER_LOW_BREAKOUT,0.637,2026-02-11T10:00:00+00:00,0.506,0.49588,-0.22153846153846157,344858.90313,1401073.03012,2.4973068658120496,0.05900000000000005,0.576271186440678,0.576271186440678,yes,-0.22153846153846157,-0.07692307692307698,-0.061224489795918435,0.3343799058084771,0.3343799058084771,0.3343799058084771,0.3343799058084771,1.5093537414965978,1.5093537414965978,1.5093537414965978,5.0,4.0,nan,nan,2.4973068658120496,1401073.03012,breakout_after_higher_low,yes,no,no,no,ok,ok,no,no,no,no,0.794,B,,,,no,causal_signal_after_confirmation;no_future_low_used
1000CAT,1000CAT,7353c4ecea8627e7,2025-10-10T22:00:00+00:00,CAPITULATION_RECLAIM,0.00588,2025-10-10T21:00:00+00:00,0.00272,0.0026656,-0.5466666666666666,1517292.063961,739171.797363,1.4727578698475337,0.0019100000000000002,0.9738219895287955,0.9738219895287955,no,-0.5466666666666666,-0.13435374149659862,-0.08843537414965985,0.027210884353741527,0.15306122448979598,0.15306122448979598,0.15306122448979598,0.04977600796416133,0.2799900447984073,0.2799900447984073,46.0,nan,nan,nan,1.4727578698475337,739171.797363,close_reclaimed_low_plus_pct,no,no,no,no,ok,ok,no,no,no,no,0.612,C,,,,no,causal_signal_after_confirmation;no_future_low_used
1000CAT,1000CAT,7353c4ecea8627e7,2025-09-18T08:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.00854,2025-09-15T16:00:00+00:00,0.0074,0.007252,-0.15081967213114766,1517292.063961,1280575.349195,4.265684882893212,0.00042000000000000023,0.7380952380952407,0.7380952380952407,no,-0.15081967213114766,-0.2295081967213115,-0.07611241217798614,0.021077283372365363,0.06674473067915687,0.06674473067915687,0.06674473067915687,0.1397515527950311,0.4425465838509311,0.4425465838509311,62.0,nan,nan,nan,4.265684882893212,1280575.349195,volume_breakout_after_squeeze_proxy,no,no,no,yes,ok,ok,no,no,no,yes,0.7,C,,false_breakout;next_3_candles_failed_confirmation,,no,causal_signal_after_confirmation;no_future_low_used
1000SATS,1000SATS,51b4ab486a5915e6,2026-02-14T18:00:00+00:00,HIGHER_LOW_BREAKOUT,1.262e-05,2026-02-11T15:00:00+00:00,1.08e-05,1.0583999999999999e-05,-0.1613312202852616,573708.97932119,17296.64670398,-0.015822896851165617,1.6999999999999837e-07,0.8235294117647058,0.8235294117647058,yes,-0.1613312202852616,-0.20760697305863696,-0.009508716323296307,0.027733755942947802,0.027733755942947802,0.027733755942947802,0.027733755942947802,0.171905697445973,0.171905697445973,0.171905697445973,4.0,nan,nan,nan,-0.015822896851165617,17296.64670398,breakout_after_higher_low,no,no,no,yes,low,ok,no,yes,no,yes,0.0,Manual Review,,false_breakout;low_liquidity_at_signal,,yes,causal_signal_after_confirmation;no_future_low_used
1MBABYDOGE,1MBABYDOGE,100dea1a92e98d17,2026-02-06T01:00:00+00:00,CAPITULATION_RECLAIM,0.0003928,2026-02-06T00:00:00+00:00,0.0003462,0.000339276,-0.1362627291242362,553492.0871399,197690.8461326,0.14354981473906978,1.5299999999999992e-05,1.0,1.0,no,-0.1362627291242362,-0.09419551934826886,-0.09419551934826886,0.11965376782077386,0.11965376782077386,0.11965376782077386,0.13951120162932784,0.8781107540542559,0.8781107540542559,0.8781107540542559,213.0,nan,nan,nan,0.14354981473906978,197690.8461326,close_reclaimed_low_plus_pct,no,no,no,no,ok,ok,no,no,no,no,0.661,C,,,,no,causal_signal_after_confirmation;no_future_low_used
1MBABYDOGE,1MBABYDOGE,100dea1a92e98d17,2026-01-27T16:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0005815,2026-01-25T20:00:00+00:00,0.0005441,0.000533218,-0.08303009458297506,553492.0871399,64849.6825222,1.9587503804455537,9.000000000000002e-06,0.7777777777777725,0.7777777777777725,no,-0.08303009458297506,-0.40464316423043845,-0.02166809974204642,0.02940670679277746,0.06586414445399824,0.06586414445399824,0.06586414445399824,0.35416925562321555,0.7932562859864957,0.7932562859864957,41.0,nan,nan,nan,1.9587503804455537,64849.6825222,volume_breakout_after_squeeze_proxy,no,no,no,yes,low,ok,no,yes,no,yes,0.0,Manual Review,,false_breakout;low_liquidity_at_signal;next_3_candles_failed_confirmation,,yes,causal_signal_after_confirmation;no_future_low_used
2Z,2Z,4b887ae093ae6180,2026-03-01T01:00:00+00:00,HIGHER_LOW_BREAKOUT,0.07835,2026-02-28T10:00:00+00:00,0.07017,0.0687666,-0.12231525207402683,127346.59744,33242.18136,0.2575892658152422,0.002479999999999996,0.9637096774193576,0.9637096774193576,no,-0.12231525207402683,-0.09253350350989165,-0.09253350350989165,0.016209317166560266,0.016209317166560266,0.016209317166560266,0.09904275686024255,0.13252081724648837,0.13252081724648837,0.13252081724648837,325.0,nan,nan,nan,0.2575892658152422,33242.18136,breakout_after_higher_low,no,no,no,no,low,ok,no,yes,no,no,0.0,Manual Review,,,,yes,causal_signal_after_confirmation;no_future_low_used
A2Z,A2Z,1fc6e5215a5c6f00,2026-03-21T07:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.000523,2026-03-20T03:00:00+00:00,0.000464,0.00045472,-0.13055449330783941,49467.107774,96272.790833,2.4804972023295084,2.799999999999992e-05,0.6071428571428581,0.6071428571428581,yes,-0.13055449330783941,-0.8623326959847036,-0.0994263862332696,0.16252390057361388,0.5525812619502868,2.369024856596558,2.369024856596558,1.2448740480374934,4.232571763327474,18.14586994727592,73.0,44.0,72.0,73.0,2.4804972023295084,96272.790833,volume_breakout_after_squeeze_proxy,yes,yes,yes,yes,low,ok,no,yes,no,no,0.144,Manual Review,,low_liquidity_at_signal,,yes,causal_signal_after_confirmation;no_future_low_used
ACA,ACA,dccc644ea3175a5f,2026-01-14T16:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0079,2026-01-12T20:00:00+00:00,0.0071,0.006958000000000001,-0.11924050632911398,36124.851208,31042.07937,2.6694762863154446,0.00010000000000000113,1.0,1.0,no,-0.11924050632911398,-0.21518987341772167,-0.10126582278481011,0.0,0.0,0.06329113924050622,0.06329113924050622,0.0,0.0,0.5307855626326953,92.0,nan,nan,nan,2.6694762863154446,31042.07937,volume_breakout_after_squeeze_proxy,no,no,no,yes,low,ok,no,yes,no,yes,0.0,Manual Review,,false_breakout;low_liquidity_at_signal;next_3_candles_failed_confirmation,,yes,causal_signal_after_confirmation;no_future_low_used
ACE,ACE,1aa297da122de509,2024-08-12T23:00:00+00:00,HIGHER_LOW_BREAKOUT,2.414,2024-08-11T23:00:00+00:00,2.059,2.01782,-0.1641176470588236,2499142.3266,537293.1467,1.6082200862371472,0.06499999999999995,0.4615384615384657,0.4615384615384657,no,-0.1641176470588236,-0.12303231151615579,-0.12303231151615579,0.036868268434134155,0.036868268434134155,0.036868268434134155,0.14333057166528573,0.2246453632187385,0.2246453632187385,0.2246453632187385,283.0,nan,nan,nan,1.6082200862371472,537293.1467,breakout_after_higher_low,no,no,no,no,ok,ok,no,no,no,no,0.716,C,,,,no,causal_signal_after_confirmation;no_future_low_used
