token_entity_id,token_symbol,anchor_event_id,signal_timestamp_utc,signal_type,signal_price,recent_low_timestamp_utc,recent_low_price,stop_price,risk_pct,quote_volume_at_bottom,quote_volume_at_signal,volume_zscore_at_signal,candle_range_at_signal,wick_ratio_at_signal,close_position_in_signal_candle,next_3_candles_confirmation,stop_distance_pct,max_adverse_excursion_after_signal,max_adverse_excursion_before_mfe,max_favorable_excursion_24h,max_favorable_excursion_3d,max_favorable_excursion_7d,max_favorable_excursion_14d,risk_reward_24h,risk_reward_3d,risk_reward_7d,time_to_mfe_hours,time_to_20_target_hours,time_to_50_target_hours,time_to_100_target_hours,signal_volume_zscore,signal_quote_volume,confirmation_type,signal_success_20,signal_success_50,signal_success_100,signal_failed_stop,signal_liquidity_flag,bottom_liquidity_flag,low_liquidity_at_bottom,low_liquidity_at_signal,suspicious_signal_wick,false_breakout_flag,signal_quality_score,tradeability_tier,execution_quality_notes,signal_failure_reason,no_signal_reason,manual_review_required,notes
A2Z,A2Z,1fc6e5215a5c6f00,2026-03-21T07:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.000523,2026-03-20T03:00:00+00:00,0.000464,0.00045472,-0.1305544933078394,49467.107774,96272.790833,2.4804972023295084,2.799999999999992e-05,0.6071428571428581,0.6071428571428581,yes,-0.1305544933078394,-0.8623326959847036,-0.0994263862332696,0.1625239005736138,0.5525812619502868,2.369024856596558,2.369024856596558,1.2448740480374934,4.232571763327474,18.14586994727592,73.0,44.0,72.0,73.0,2.4804972023295084,96272.790833,volume_breakout_after_squeeze_proxy,yes,yes,yes,yes,low,ok,no,yes,no,no,0.144,Manual Review,,low_liquidity_at_signal,,yes,causal_signal_after_confirmation;no_future_low_used
ACA,ACA,dccc644ea3175a5f,2026-01-14T16:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0079,2026-01-12T20:00:00+00:00,0.0071,0.006958,-0.1192405063291139,36124.851208,31042.07937,2.6694762863154446,0.0001,1.0,1.0,no,-0.1192405063291139,-0.2151898734177216,-0.1012658227848101,0.0,0.0,0.0632911392405062,0.0632911392405062,0.0,0.0,0.5307855626326953,92.0,,,,2.6694762863154446,31042.07937,volume_breakout_after_squeeze_proxy,no,no,no,yes,low,ok,no,yes,no,yes,0.0,Manual Review,,false_breakout;low_liquidity_at_signal;next_3_candles_failed_confirmation,,yes,causal_signal_after_confirmation;no_future_low_used
ALPACA,ALPACA,064b0dde744232dc,2025-04-17T06:00:00+00:00,CAPITULATION_RECLAIM,0.0306,2025-04-17T02:00:00+00:00,0.0278,0.0272439999999999,-0.1096732026143791,446281.83238,63436.33312,-0.1611598496657577,0.001,0.8999999999999972,0.8999999999999972,no,-0.1096732026143791,-0.0522875816993463,-0.0522875816993463,0.0032679738562091,0.9346405228758172,1.800653594771242,40.50326797385621,0.0297973778307507,8.52205005959475,16.41835518474373,314.0,43.0,57.0,73.0,-0.1611598496657577,63436.33312,close_reclaimed_low_plus_pct,yes,yes,yes,no,low,ok,no,yes,no,no,0.09,Manual Review,,,,yes,causal_signal_after_confirmation;no_future_low_used
ALPACA,ALPACA,064b0dde744232dc,2025-03-11T14:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0745,2025-03-09T18:00:00+00:00,0.0551,0.053998,-0.2751946308724831,446281.83238,596548.28906,1.6988995039697243,0.0039,0.538461538461536,0.538461538461536,yes,-0.2751946308724831,-0.2348993288590604,-0.0174496644295301,0.1409395973154363,0.178523489932886,0.178523489932886,0.178523489932886,0.5121451565700914,0.6487171983221157,0.6487171983221157,66.0,,,,1.6988995039697243,596548.28906,volume_breakout_after_squeeze_proxy,no,no,no,no,ok,ok,no,no,no,no,0.742,C,,,,no,causal_signal_after_confirmation;no_future_low_used
ARDR,ARDR,afca87c30daaf7ba,2025-04-15T09:00:00+00:00,HIGHER_LOW_BREAKOUT,0.08404,2025-04-15T01:00:00+00:00,0.05402,0.0529395999999999,-0.370066634935745,22977.48437,1923968.12492,4.110852104355334,0.0263299999999999,0.8496012153437147,0.8496012153437147,yes,-0.370066634935745,-0.0900761542122799,-0.0900761542122799,0.868277010947168,1.2332222751070918,1.2332222751070918,1.2332222751070918,2.3462720736710776,3.3324330233694734,3.3324330233694734,25.0,14.0,15.0,25.0,4.110852104355334,1923968.12492,breakout_after_higher_low,yes,yes,yes,no,ok,low,yes,no,no,no,0.795,B,"low liquidity at bottom, but signal liquidity improved",,,no,causal_signal_after_confirmation;no_future_low_used
AST,AST,c9bba63a0a1d11c1,2025-03-16T10:00:00+00:00,CAPITULATION_RECLAIM,0.0444,2025-03-16T09:00:00+00:00,0.0086,0.008428,-0.8101801801801802,177953.1077,41606.3069,0.6377143886691923,0.0011999999999999,0.1666666666666657,0.1666666666666657,no,-0.8101801801801802,-0.4189189189189189,-0.3603603603603603,0.0427927927927926,0.0788288288288288,0.0788288288288288,0.2004504504504503,0.052818859112643,0.0972978983653952,0.0972978983653952,171.0,171.0,,,0.6377143886691923,41606.3069,close_reclaimed_low_plus_pct,no,no,no,no,low,ok,no,yes,no,no,0.0,Manual Review,,,,yes,causal_signal_after_confirmation;no_future_low_used
AST,AST,c9bba63a0a1d11c1,2025-03-13T08:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0444,2025-03-11T01:00:00+00:00,0.04,0.0392,-0.1171171171171171,177953.1077,93611.4183,3.974091664838514,0.0016,0.3750000000000011,0.3750000000000011,yes,-0.1171171171171171,-0.8063063063063063,-0.8063063063063063,0.0585585585585584,0.0765765765765766,0.0788288288288288,0.2004504504504503,0.4999999999999985,0.6538461538461546,0.6730769230769227,245.0,245.0,,,3.974091664838514,93611.4183,volume_breakout_after_squeeze_proxy,no,no,no,yes,low,ok,no,yes,no,yes,0.0,Manual Review,,false_breakout;low_liquidity_at_signal,,yes,causal_signal_after_confirmation;no_future_low_used
ATA,ATA,c94c0613623769e6,2026-03-21T20:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0106,2026-03-20T16:00:00+00:00,0.0104,0.010192,-0.0384905660377359,86133.5977,3695.91,2.504649595968738,9.99999999999994e-05,1.0,1.0,no,-0.0384905660377359,-0.2547169811320754,-0.0094339622641509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,2.504649595968738,3695.91,volume_breakout_after_squeeze_proxy,no,no,no,yes,low,ok,no,yes,no,yes,0.0,Manual Review,,false_breakout;low_liquidity_at_signal;next_3_candles_failed_confirmation,,yes,causal_signal_after_confirmation;no_future_low_used
BAKE,BAKE,5c8137ecc69b6b61,2025-09-09T19:00:00+00:00,CAPITULATION_RECLAIM,0.041,2025-09-09T11:00:00+00:00,0.033,0.03234,-0.2112195121951219,505105.29279,2047757.6733,4.492414537534067,0.0085999999999999,0.7093023255813958,0.7093023255813958,no,-0.2112195121951219,-0.146341463414634,-0.146341463414634,4.329268292682927,4.329268292682927,4.329268292682927,4.329268292682927,20.496535796766747,20.496535796766747,20.496535796766747,15.0,9.0,10.0,10.0,4.492414537534067,2047757.6733,close_reclaimed_low_plus_pct,yes,yes,yes,no,ok,ok,no,no,no,no,0.923,A,,,,no,causal_signal_after_confirmation;no_future_low_used
BAKE,BAKE,5c8137ecc69b6b61,2025-07-16T16:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0915,2025-07-15T03:00:00+00:00,0.0835,0.08183,-0.1056830601092896,505105.29279,287872.34131,2.5326373225426897,0.0019,0.8421052631578912,0.8421052631578912,yes,-0.1056830601092896,-0.0513661202185792,-0.0404371584699453,0.0765027322404372,0.0885245901639344,0.244808743169399,0.244808743169399,0.7238883143743544,0.8376421923474664,2.3164426059979326,158.0,158.0,,,2.5326373225426897,287872.34131,volume_breakout_after_squeeze_proxy,yes,no,no,no,ok,ok,no,no,no,no,0.913,B,,,,no,causal_signal_after_confirmation;no_future_low_used
