token_entity_id,token_symbol,anchor_event_id,signal_timestamp_utc,signal_type,signal_price,recent_low_timestamp_utc,recent_low_price,stop_price,risk_pct,quote_volume_at_bottom,quote_volume_at_signal,volume_zscore_at_signal,candle_range_at_signal,wick_ratio_at_signal,close_position_in_signal_candle,next_3_candles_confirmation,stop_distance_pct,max_adverse_excursion_after_signal,max_adverse_excursion_before_mfe,max_favorable_excursion_24h,max_favorable_excursion_3d,max_favorable_excursion_7d,max_favorable_excursion_14d,risk_reward_24h,risk_reward_3d,risk_reward_7d,time_to_mfe_hours,time_to_20_target_hours,time_to_50_target_hours,time_to_100_target_hours,signal_volume_zscore,signal_quote_volume,confirmation_type,signal_success_20,signal_success_50,signal_success_100,signal_failed_stop,signal_liquidity_flag,bottom_liquidity_flag,low_liquidity_at_bottom,low_liquidity_at_signal,suspicious_signal_wick,false_breakout_flag,signal_quality_score,tradeability_tier,execution_quality_notes,signal_failure_reason,no_signal_reason,manual_review_required,notes
FUN,FUN,24a0f7579654e736,2026-03-13T23:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.00138,2026-03-11T05:00:00+00:00,0.001262,0.0012367600000000002,-0.10379710144927523,44544.524756,23538.791677,2.54291211502011,1.8000000000000004e-05,0.7222222222222215,0.7222222222222215,yes,-0.10379710144927523,-0.08840579710144925,-0.08840579710144925,0.05724637681159428,0.05724637681159428,0.05724637681159428,0.07318840579710151,0.5515219212510486,0.5515219212510486,0.5515219212510486,280.0,nan,nan,nan,2.54291211502011,23538.791677,volume_breakout_after_squeeze_proxy,no,no,no,no,low,ok,no,yes,no,no,0.013,Manual Review,,,,yes,causal_signal_after_confirmation;no_future_low_used
GHST,GHST,fc33d59d02e3d720,2026-02-06T10:00:00+00:00,CAPITULATION_RECLAIM,0.069,2026-02-06T09:00:00+00:00,0.03,0.0294,-0.5739130434782609,189523.5648,118760.7681,1.7773185614778457,0.012999999999999998,0.30769230769230804,0.30769230769230804,yes,-0.5739130434782609,-0.02898550724637683,-0.02898550724637683,0.7246376811594202,0.7246376811594202,2.478260869565217,2.478260869565217,1.2626262626262623,1.2626262626262623,4.3181818181818175,103.0,10.0,15.0,96.0,1.7773185614778457,118760.7681,close_reclaimed_low_plus_pct,yes,yes,yes,no,ok,ok,no,no,yes,no,0.452,Manual Review,,,,yes,causal_signal_after_confirmation;no_future_low_used
GHST,GHST,fc33d59d02e3d720,2026-02-10T10:00:00+00:00,HIGHER_LOW_BREAKOUT,0.137,2026-02-09T07:00:00+00:00,0.075,0.0735,-0.46350364963503654,189523.5648,514149.6753,3.4069937848597522,0.07299999999999998,0.5068493150684934,0.5068493150684934,yes,-0.46350364963503654,-0.24817518248175197,-0.12408759124087598,0.751824817518248,0.751824817518248,0.751824817518248,0.751824817518248,1.6220472440944878,1.6220472440944878,1.6220472440944878,7.0,3.0,6.0,nan,3.4069937848597522,514149.6753,breakout_after_higher_low,yes,yes,no,no,ok,ok,no,no,no,no,0.752,B,,,,no,causal_signal_after_confirmation;no_future_low_used
GHST,GHST,fc33d59d02e3d720,2025-12-09T15:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.209,2025-12-07T14:00:00+00:00,0.2,0.196,-0.062200956937798924,189523.5648,12888.1753,2.2494166150939585,0.006000000000000005,0.8333333333333334,0.8333333333333334,yes,-0.062200956937798924,-0.23444976076555024,-0.19617224880382766,0.019138755980861344,0.019138755980861344,0.019138755980861344,0.37799043062200943,0.3076923076923099,0.3076923076923099,0.3076923076923099,175.0,175.0,nan,nan,2.2494166150939585,12888.1753,volume_breakout_after_squeeze_proxy,no,no,no,yes,low,ok,no,yes,no,yes,0.0,Manual Review,,false_breakout;low_liquidity_at_signal,,yes,causal_signal_after_confirmation;no_future_low_used
GPS,GPS,5fa3fcfa690cf833,2025-04-23T22:00:00+00:00,HIGHER_LOW_BREAKOUT,0.0199,2025-04-22T06:00:00+00:00,0.0166,0.016268,-0.18251256281407036,92084.44634,73051.09208,-0.3671258758665065,0.0005999999999999998,1.0,1.0,no,-0.18251256281407036,-0.06030150753768837,-0.05025125628140703,0.1557788944723617,0.20603015075376874,0.2160804020100502,0.2211055276381908,0.8535242290748893,1.1288546255506602,1.1839207048458147,170.0,54.0,nan,nan,-0.3671258758665065,73051.09208,breakout_after_higher_low,yes,no,no,no,low,ok,no,yes,no,no,0.0,Manual Review,,,,yes,causal_signal_after_confirmation;no_future_low_used
GPS,GPS,5fa3fcfa690cf833,2025-03-14T15:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0351,2025-03-12T15:00:00+00:00,0.0322,0.031556,-0.10096866096866097,92084.44634,876100.39491,3.1124219700345943,0.0010000000000000009,0.39999999999999725,0.39999999999999725,yes,-0.10096866096866097,-0.1737891737891737,-0.019943019943019946,0.2678062678062678,0.2678062678062678,0.2678062678062678,0.2678062678062678,2.6523702031602707,2.6523702031602707,2.6523702031602707,24.0,21.0,nan,nan,3.1124219700345943,876100.39491,volume_breakout_after_squeeze_proxy,yes,no,no,yes,ok,ok,no,no,no,no,0.832,B,,stop_hit_after_signal,,no,causal_signal_after_confirmation;no_future_low_used
HARD,HARD,c54abb522c3fe7f3,2024-08-25T12:00:00+00:00,HIGHER_LOW_BREAKOUT,0.1181,2024-08-07T20:00:00+00:00,0.0829,0.081242,-0.31209144792548693,188003.5463,1699805.2646,4.420967310491724,0.020699999999999996,0.9710144927536231,0.9710144927536231,yes,-0.31209144792548693,-0.18289585097375105,-0.18289585097375105,0.5571549534292972,0.5571549534292972,0.5571549534292972,0.5707027942421676,1.7852298008573442,1.7852298008573442,1.7852298008573442,170.0,18.0,19.0,nan,4.420967310491724,1699805.2646,breakout_after_higher_low,yes,yes,no,no,ok,ok,no,no,no,no,0.85,B,,,,no,causal_signal_after_confirmation;no_future_low_used
HIFI,HIFI,2c99c44cb7fd8609,2025-05-14T09:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.1333,2025-05-12T00:00:00+00:00,0.1275,0.12495,-0.06264066016504122,86740.50989,503659.86542,2.236764355165905,0.002700000000000008,0.6296296296296304,0.6296296296296304,no,-0.06264066016504122,-0.2550637659414854,-0.2550637659414854,0.021005251312828266,0.03525881470367609,0.03525881470367609,0.03525881470367609,0.3353293413173664,0.5628742514970091,0.5628742514970091,60.0,nan,nan,nan,2.236764355165905,503659.86542,volume_breakout_after_squeeze_proxy,no,no,no,yes,ok,ok,no,no,no,yes,0.707,C,,false_breakout;next_3_candles_failed_confirmation,,no,causal_signal_after_confirmation;no_future_low_used
HOOK,HOOK,b9485d9081530016,2026-03-13T15:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0214,2026-03-10T19:00:00+00:00,0.0196,0.019208,-0.10242990654205608,61743.53135,47470.35829,2.386339778274809,0.0005999999999999998,0.4999999999999971,0.4999999999999971,no,-0.10242990654205608,-0.5467289719626167,-0.04205607476635509,0.15887850467289732,0.16355140186915884,0.16355140186915884,0.16355140186915884,1.55109489051095,1.596715328467153,1.596715328467153,25.0,nan,nan,nan,2.386339778274809,47470.35829,volume_breakout_after_squeeze_proxy,no,no,no,yes,low,ok,no,yes,no,yes,0.0,Manual Review,,false_breakout;low_liquidity_at_signal;next_3_candles_failed_confirmation,,yes,causal_signal_after_confirmation;no_future_low_used
IRIS,IRIS,92f6841824deef01,2024-07-25T20:00:00+00:00,HIGHER_LOW_BREAKOUT,0.0207,2024-07-23T05:00:00+00:00,0.01324,0.0129752,-0.37317874396135264,53735.528784,11149618.16611,4.5383163081332345,0.00802,0.4887780548628429,0.4887780548628429,no,-0.37317874396135264,-0.4241545893719807,-0.21207729468599024,0.20193236714975837,0.20193236714975837,0.20193236714975837,0.20193236714975837,0.5411143330571664,0.5411143330571664,0.5411143330571664,15.0,15.0,nan,nan,4.5383163081332345,11149618.16611,breakout_after_higher_low,yes,no,no,yes,ok,ok,no,no,no,no,0.577,C,,next_3_candles_failed_confirmation,,no,causal_signal_after_confirmation;no_future_low_used
